"Plot Title: HOBO5R"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 21277806, SEN S/N: 21277806)","Intensity, Lux (LGR S/N: 21277806, SEN S/N: 21277806)","Coupler Detached (LGR S/N: 21277806)","Coupler Attached (LGR S/N: 21277806)","Host Connected (LGR S/N: 21277806)","Stopped (LGR S/N: 21277806)","End Of File (LGR S/N: 21277806)"
1,06/20/22 11:16:50 AM,25.416,0.0,,,,,
2,06/20/22 11:16:59 AM,,,Logged,,,,
3,06/20/22 11:31:50 AM,29.452,0.0,,,,,
4,06/20/22 11:46:50 AM,19.853,75.3,,,,,
5,06/20/22 12:01:50 PM,19.662,75.3,,,,,
6,06/20/22 12:16:50 PM,19.472,86.1,,,,,
7,06/20/22 12:31:50 PM,19.377,53.8,,,,,
8,06/20/22 12:46:50 PM,19.282,75.3,,,,,
9,06/20/22 01:01:50 PM,19.187,43.1,,,,,
10,06/20/22 01:16:50 PM,19.472,64.6,,,,,
11,06/20/22 01:31:50 PM,19.662,75.3,,,,,
12,06/20/22 01:46:50 PM,19.853,86.1,,,,,
13,06/20/22 02:01:50 PM,19.948,43.1,,,,,
14,06/20/22 02:16:50 PM,20.138,86.1,,,,,
15,06/20/22 02:31:50 PM,20.234,64.6,,,,,
16,06/20/22 02:46:50 PM,20.329,75.3,,,,,
17,06/20/22 03:01:50 PM,20.329,53.8,,,,,
18,06/20/22 03:16:50 PM,20.424,86.1,,,,,
19,06/20/22 03:31:50 PM,20.519,43.1,,,,,
20,06/20/22 03:46:50 PM,20.519,43.1,,,,,
21,06/20/22 04:01:50 PM,20.615,64.6,,,,,
22,06/20/22 04:16:50 PM,20.234,64.6,,,,,
23,06/20/22 04:31:50 PM,20.043,64.6,,,,,
24,06/20/22 04:46:50 PM,19.758,64.6,,,,,
25,06/20/22 05:01:50 PM,19.662,64.6,,,,,
26,06/20/22 05:16:50 PM,19.472,53.8,,,,,
27,06/20/22 05:31:50 PM,19.282,75.3,,,,,
28,06/20/22 05:46:50 PM,19.187,64.6,,,,,
29,06/20/22 06:01:50 PM,19.377,43.1,,,,,
30,06/20/22 06:16:50 PM,19.567,64.6,,,,,
31,06/20/22 06:31:50 PM,19.662,43.1,,,,,
32,06/20/22 06:46:50 PM,19.758,86.1,,,,,
33,06/20/22 07:01:50 PM,19.853,86.1,,,,,
34,06/20/22 07:16:50 PM,19.948,43.1,,,,,
35,06/20/22 07:31:50 PM,20.043,53.8,,,,,
36,06/20/22 07:46:50 PM,20.138,86.1,,,,,
37,06/20/22 08:01:50 PM,20.234,86.1,,,,,
38,06/20/22 08:16:50 PM,20.329,64.6,,,,,
39,06/20/22 08:31:50 PM,20.329,53.8,,,,,
40,06/20/22 08:46:50 PM,20.424,53.8,,,,,
41,06/20/22 09:01:50 PM,20.519,43.1,,,,,
42,06/20/22 09:16:50 PM,20.519,53.8,,,,,
43,06/20/22 09:31:50 PM,20.615,86.1,,,,,
44,06/20/22 09:46:50 PM,20.615,64.6,,,,,
45,06/20/22 10:01:50 PM,20.234,0.0,,,,,
46,06/20/22 10:16:50 PM,19.948,0.0,,,,,
47,06/20/22 10:31:50 PM,19.662,0.0,,,,,
48,06/20/22 10:46:50 PM,19.472,0.0,,,,,
49,06/20/22 11:01:50 PM,19.187,0.0,,,,,
50,06/20/22 11:16:50 PM,19.282,0.0,,,,,
51,06/20/22 11:31:50 PM,19.472,0.0,,,,,
52,06/20/22 11:46:50 PM,19.567,0.0,,,,,
53,06/21/22 12:01:50 AM,19.662,0.0,,,,,
54,06/21/22 12:16:50 AM,19.758,0.0,,,,,
55,06/21/22 12:31:50 AM,19.758,0.0,,,,,
56,06/21/22 12:46:50 AM,19.853,0.0,,,,,
57,06/21/22 01:01:50 AM,19.853,0.0,,,,,
58,06/21/22 01:16:50 AM,19.948,0.0,,,,,
59,06/21/22 01:31:50 AM,19.948,0.0,,,,,
60,06/21/22 01:46:50 AM,19.948,0.0,,,,,
61,06/21/22 02:01:50 AM,19.948,0.0,,,,,
62,06/21/22 02:16:50 AM,19.948,0.0,,,,,
63,06/21/22 02:31:50 AM,20.043,0.0,,,,,
64,06/21/22 02:46:50 AM,20.043,0.0,,,,,
65,06/21/22 03:01:50 AM,20.043,0.0,,,,,
66,06/21/22 03:16:50 AM,20.043,0.0,,,,,
67,06/21/22 03:31:50 AM,20.138,0.0,,,,,
68,06/21/22 03:46:50 AM,20.138,0.0,,,,,
69,06/21/22 04:01:50 AM,20.138,0.0,,,,,
70,06/21/22 04:16:50 AM,20.138,0.0,,,,,
71,06/21/22 04:31:50 AM,20.138,0.0,,,,,
72,06/21/22 04:46:50 AM,20.138,0.0,,,,,
73,06/21/22 05:01:50 AM,20.138,0.0,,,,,
74,06/21/22 05:16:50 AM,20.138,0.0,,,,,
75,06/21/22 05:31:50 AM,20.234,0.0,,,,,
76,06/21/22 05:46:50 AM,20.138,0.0,,,,,
77,06/21/22 06:01:50 AM,20.234,75.3,,,,,
78,06/21/22 06:16:50 AM,20.234,64.6,,,,,
79,06/21/22 06:31:50 AM,20.234,75.3,,,,,
80,06/21/22 06:46:50 AM,20.329,75.3,,,,,
81,06/21/22 07:01:50 AM,20.329,43.1,,,,,
82,06/21/22 07:16:50 AM,20.329,86.1,,,,,
83,06/21/22 07:31:50 AM,20.424,53.8,,,,,
84,06/21/22 07:46:50 AM,20.424,75.3,,,,,
85,06/21/22 08:01:50 AM,20.519,53.8,,,,,
86,06/21/22 08:16:50 AM,20.519,53.8,,,,,
87,06/21/22 08:31:50 AM,20.615,43.1,,,,,
88,06/21/22 08:46:50 AM,20.519,43.1,,,,,
89,06/21/22 09:01:50 AM,20.234,86.1,,,,,
90,06/21/22 09:16:50 AM,19.948,86.1,,,,,
91,06/21/22 09:31:50 AM,19.758,86.1,,,,,
92,06/21/22 09:46:50 AM,19.472,86.1,,,,,
93,06/21/22 10:01:50 AM,19.377,86.1,,,,,
94,06/21/22 10:16:50 AM,19.187,43.1,,,,,
95,06/21/22 10:31:50 AM,19.377,86.1,,,,,
96,06/21/22 10:46:50 AM,19.567,43.1,,,,,
97,06/21/22 11:01:50 AM,19.662,86.1,,,,,
98,06/21/22 11:16:50 AM,19.758,75.3,,,,,
99,06/21/22 11:31:50 AM,19.853,43.1,,,,,
100,06/21/22 11:46:50 AM,19.948,53.8,,,,,
101,06/21/22 12:01:50 PM,20.043,43.1,,,,,
102,06/21/22 12:16:50 PM,20.138,43.1,,,,,
103,06/21/22 12:31:50 PM,20.138,86.1,,,,,
104,06/21/22 12:46:50 PM,20.234,43.1,,,,,
105,06/21/22 01:01:50 PM,20.329,43.1,,,,,
106,06/21/22 01:16:50 PM,20.424,86.1,,,,,
107,06/21/22 01:31:50 PM,20.424,75.3,,,,,
108,06/21/22 01:46:50 PM,20.519,64.6,,,,,
109,06/21/22 02:01:50 PM,20.615,86.1,,,,,
110,06/21/22 02:16:50 PM,20.424,64.6,,,,,
111,06/21/22 02:31:50 PM,20.138,64.6,,,,,
112,06/21/22 02:46:50 PM,19.948,53.8,,,,,
113,06/21/22 03:01:50 PM,19.662,75.3,,,,,
114,06/21/22 03:16:50 PM,19.472,86.1,,,,,
115,06/21/22 03:31:50 PM,19.282,86.1,,,,,
116,06/21/22 03:46:50 PM,19.187,86.1,,,,,
