7450-477420
OS REV: 1.05 Sensor Cal: 1635266744
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1659730920,+3.52,+21.022,+12.269,+0.973
1659731520,+3.52,+21.022,+12.294,+0.973
1659732120,+3.52,+21.022,+12.339,+0.974
1659732720,+3.52,+21.022,+12.357,+0.975
1659733320,+3.52,+21.030,+12.308,+0.974
1659733920,+3.53,+21.013,+12.353,+0.974
1659734520,+3.52,+21.039,+12.351,+0.973
1659735120,+3.52,+21.030,+12.353,+0.973
1659735720,+3.52,+21.047,+12.351,+0.974
1659736320,+3.53,+21.080,+12.280,+0.973
1659736920,+3.53,+21.080,+12.289,+0.973
1659737520,+3.53,+21.097,+12.327,+0.974
1659738120,+3.53,+21.131,+12.317,+0.973
1659738720,+3.53,+21.147,+12.349,+0.973
1659739320,+3.53,+21.189,+12.375,+0.974
1659739920,+3.53,+21.189,+12.381,+0.974
1659740520,+3.53,+21.189,+12.402,+0.973
1659741120,+3.53,+21.181,+12.410,+0.973
1659741720,+3.53,+21.156,+12.376,+0.974
1659742320,+3.53,+21.122,+12.383,+0.974
1659742920,+3.53,+21.080,+12.395,+0.974
1659743520,+3.52,+21.047,+12.386,+0.974
1659744120,+3.52,+21.013,+12.401,+0.973
1659744720,+3.52,+20.997,+12.501,+0.974
1659745320,+3.53,+21.013,+12.481,+0.973
1659745920,+3.52,+20.997,+12.474,+0.974
1659746520,+3.53,+20.997,+12.511,+0.974
1659747120,+3.53,+20.963,+12.501,+0.975
1659747720,+3.52,+20.988,+12.475,+0.974
1659748320,+3.52,+21.022,+12.472,+0.973
1659748920,+3.52,+21.022,+12.479,+0.974
1659749520,+3.52,+21.030,+12.461,+0.974
1659750120,+3.53,+21.064,+12.449,+0.974
1659750720,+3.52,+21.064,+12.422,+0.973
1659751320,+3.53,+21.055,+12.379,+0.974
1659751920,+3.52,+21.039,+12.336,+0.974
1659752520,+3.52,+21.064,+12.284,+0.974
1659753120,+3.52,+21.064,+12.200,+0.974
1659753720,+3.53,+21.072,+12.038,+0.974
1659754320,+3.53,+21.080,+11.991,+0.974
1659754920,+3.53,+21.080,+12.007,+0.974
1659755520,+3.52,+21.064,+12.036,+0.973
1659756120,+3.53,+21.072,+12.018,+0.974
1659756720,+3.53,+21.064,+11.967,+0.973
1659757320,+3.53,+21.064,+11.899,+0.972
1659757920,+3.53,+21.080,+11.801,+0.973
1659758520,+3.52,+21.072,+11.723,+0.973
1659759120,+3.53,+21.089,+11.702,+0.973
1659759720,+3.53,+21.080,+11.692,+0.974
1659760320,+3.53,+21.089,+11.633,+0.974
1659760920,+3.53,+21.072,+11.633,+0.973
1659761520,+3.53,+21.072,+11.624,+0.974
1659762120,+3.52,+21.072,+11.621,+0.974
1659762720,+3.53,+21.089,+11.572,+0.973
1659763320,+3.53,+21.072,+11.598,+0.974
1659763920,+3.53,+21.039,+11.570,+0.973
1659764520,+3.53,+21.055,+11.552,+0.973
1659765120,+3.53,+21.064,+11.501,+0.974
1659765720,+3.53,+21.047,+11.520,+0.974
1659766320,+3.53,+21.072,+11.467,+0.973
1659766920,+3.52,+21.047,+11.437,+0.974
1659767520,+3.52,+21.072,+11.355,+0.973
1659768120,+3.53,+21.064,+11.325,+0.973
1659768720,+3.53,+21.064,+11.373,+0.974
1659769320,+3.53,+21.080,+11.304,+0.974
1659769920,+3.53,+21.089,+11.202,+0.973
1659770520,+3.53,+21.089,+11.203,+0.974
1659771120,+3.53,+21.080,+11.194,+0.973
1659771720,+3.53,+21.072,+11.191,+0.973
1659772320,+3.53,+21.072,+11.143,+0.973
1659772920,+3.53,+21.064,+11.122,+0.973
1659773520,+3.53,+21.072,+11.038,+0.974
1659774120,+3.53,+21.064,+11.031,+0.973
1659774720,+3.53,+21.047,+11.016,+0.973
1659775320,+3.52,+21.047,+11.019,+0.974
1659775920,+3.53,+21.064,+10.943,+0.973
1659776520,+3.53,+21.072,+10.932,+0.973
1659777120,+3.53,+21.072,+10.879,+0.974
1659777720,+3.53,+21.047,+10.853,+0.974
1659778320,+3.53,+21.039,+10.874,+0.974
1659778920,+3.52,+21.030,+10.837,+0.973
1659779520,+3.53,+21.055,+10.848,+0.974
1659780120,+3.53,+21.080,+10.882,+0.973
1659780720,+3.53,+21.097,+10.901,+0.973
1659781320,+3.53,+21.114,+10.962,+0.973
1659781920,+3.53,+21.131,+10.969,+0.974
