plate,conc_ank,reading_485_665
1,1,6009
1,1,4963
1,1,5092
1,1,4901
1,1,5254
1,1,5700
1,1,5571
1,1,5948
1,1,5715
1,1,5332
1,1,5416
1,1,5325
1,1,5567
1,1,5301
1,1,5579
1,1,5892
1,1,5871
1,1,5677
1,1,5038
1,1,5363
1,1,5335
1,1,5791
1,1,6315
1,1,6357
1,1,5841
1,1,5838
1,1,4950
1,1,5441
1,1,5168
1,1,5629
1,1,6468
1,1,9670
1,1,6052
1,1,5289
1,1,4935
1,1,5222
1,1,5073
1,1,5869
1,1,6412
1,1,10332
1,1,5979
1,1,5261
1,1,5152
1,1,5488
1,1,5433
1,1,5291
1,1,5599
1,1,6173
1,1,6402
1,1,5316
1,1,5011
1,1,5081
1,1,5270
1,1,5045
1,1,5550
1,1,5909
1,1,5784
1,1,5332
1,1,5154
1,1,5629
1,1,5397
1,1,5328
1,1,5590
1,1,5729
1,1,6304
1,1,5399
1,1,5220
1,1,5411
1,1,5346
1,1,5525
1,1,5164
1,1,5992
1,1,5888
1,1,5524
1,1,5335
1,1,5163
1,1,5827
1,1,5411
1,1,5432
1,1,5723
1,1,6343
1,1,5585
1,1,5851
1,1,5656
1,1,5555
1,1,5160
1,1,5712
1,1,5726
1,1,5546
1,1,5635
1,1,5849
1,1,5804
1,1,6092
1,1,6007
1,0,3470
1,0,3342
1,0,3251
1,0,3684
1,0,3647
1,0,3536
2,0.05,3521
2,0.05,3311
2,0.05,3825
2,0.05,3495
2,0.05,3438
2,0.05,3760
2,0.1,3500
2,0.1,5466
2,0.1,3724
2,0.1,3619
2,0.1,3753
2,0.1,3870
2,0.25,4389
2,0.25,3869
2,0.25,4149
2,0.25,3949
2,0.25,4545
2,0.25,4188
2,0.5,4167
2,0.5,4319
2,0.5,4305
2,0.5,4456
2,0.5,4205
2,0.5,4499
2,0.75,5911
2,0.75,5854
2,0.75,5587
2,0.75,6335
2,0.75,5473
2,0.75,5923
2,1,5608
2,1,6008
2,1,5863
2,1,5876
2,1,6333
2,1,5775
2,2,6926
2,2,7033
2,2,7508
2,2,7219
2,2,7186
2,2,7584
2,2,7919
2,2,8117
2,2,8063
2,2,7764
2,2,8833
2,2,8298
2,2,8378
3,1,6090
3,1,5742
3,1,5373
3,1,5475
3,1,5879
3,1,5748
3,1,4834
3,1,6035
3,1,5868
3,1,5385
3,1,5455
3,1,5259
3,1,5592
3,1,6147
3,1,5577
3,1,5463
3,1,5540
3,1,5067
3,1,5247
3,1,5284
3,1,5113
3,1,6203
3,1,6064
3,1,4976
3,1,4906
3,1,5116
3,1,4979
3,1,5492
3,1,5170
3,1,5967
3,1,5818
3,1,5547
3,1,5840
3,1,5242
3,1,5492
3,1,5533
3,1,5400
3,1,5855
3,1,5476
3,1,5026
3,1,5553
3,1,5614
3,1,6744
3,1,5110
3,1,5215
3,1,6062
3,2,8262
3,2,7097
3,2,7844
3,2,6763
3,2,6856
3,2,7867
3,2,8396
3,2,8308
3,0.75,6183
3,0.75,4989
3,0.75,5025
3,0.75,5277
3,0.75,5076
3,0.75,5223
3,0.75,4969
3,0.75,7190
3,0.5,4336
3,0.5,3849
3,0.5,3975
3,0.5,3894
3,0.5,4006
3,0.5,3846
3,0.5,4052
3,0.5,4177
3,0.25,3897
3,0.25,3775
3,0.25,3789
3,0.25,3671
3,0.25,3721
3,0.25,3625
3,0.25,3874
3,0.25,4563
3,0.1,3656
3,0.1,3459
3,0.1,3529
3,0.1,3682
3,0.1,3450
3,0.1,3602
3,0.1,3655
3,0.1,3620
3,0.05,3772
3,0.05,3126
3,0.05,2863
3,0.05,2724
3,0.05,3872
3,0.05,3171
3,0.05,3544
3,0.05,3725
