no,treat,inf,mean_temp,temp,treatment_id,repl,sum
9,CS,U,1070538,10,U_10_CS_9,9,1
10,CS,U,1070538,10,U_10_CS_10,10,4
12,CS,U,1070538,10,U_10_CS_12,12,1
13,CS,I,1070538,10,I_10_CS_1,1,4
15,CS,I,1070538,10,I_10_CS_3,3,1
17,CS,I,1070538,10,I_10_CS_5,5,3
20,CS,I,1070538,10,I_10_CS_8,8,2
22,CS,I,1070538,10,I_10_CS_10,10,3
61,CS,U,1354182,13,U_13_CS_1,1,2
62,CS,U,1354182,13,U_13_CS_2,2,21
63,CS,U,1354182,13,U_13_CS_3,3,13
64,CS,U,1354182,13,U_13_CS_4,4,32
66,CS,U,1354182,13,U_13_CS_6,6,30
67,CS,U,1354182,13,U_13_CS_7,7,35
68,CS,U,1354182,13,U_13_CS_8,8,26
69,CS,U,1354182,13,U_13_CS_9,9,12
70,CS,U,1354182,13,U_13_CS_10,10,30
72,CS,U,1354182,13,U_13_CS_12,12,31
73,CS,I,1354182,13,I_13_CS_1,1,21
74,CS,I,1354182,13,I_13_CS_2,2,24
75,CS,I,1354182,13,I_13_CS_3,3,24
78,CS,I,1354182,13,I_13_CS_6,6,34
80,CS,I,1354182,13,I_13_CS_8,8,24
81,CS,I,1354182,13,I_13_CS_9,9,39
83,CS,I,1354182,13,I_13_CS_11,11,36
84,CS,I,1354182,13,I_13_CS_12,12,21
121,PULSE,U,1391408,13,U_13_PULSE_1,1,12
122,PULSE,U,1391408,13,U_13_PULSE_2,2,21
123,PULSE,U,1391408,13,U_13_PULSE_3,3,38
124,PULSE,U,1391408,13,U_13_PULSE_4,4,28
125,PULSE,U,1391408,13,U_13_PULSE_5,5,25
126,PULSE,U,1391408,13,U_13_PULSE_6,6,14
127,PULSE,U,1391408,13,U_13_PULSE_7,7,25
128,PULSE,U,1391408,13,U_13_PULSE_8,8,52
129,PULSE,U,1391408,13,U_13_PULSE_9,9,44
130,PULSE,U,1391408,13,U_13_PULSE_10,10,28
131,PULSE,U,1391408,13,U_13_PULSE_11,11,15
