measurement_num,species,mean_temp,temp_var,temp_id,resource,raw_meas,converted_um
1,daphnia,15,0,15,0.1,40,708
2,daphnia,15,0,15,0.1,38,672.6
3,daphnia,15,0,15,0.1,45,796.5
4,daphnia,15,0,15,0.1,39,690.3
5,daphnia,15,0,15,0.1,36,637.2
6,daphnia,15,0,15,0.1,44,778.8
7,daphnia,15,0,15,0.1,43,761.1
8,daphnia,15,0,15,0.1,43,761.1
9,daphnia,15,0,15,0.1,40,708
10,daphnia,15,0,15,0.1,40,708
11,daphnia,15,0,15,0.5,43,761.1
12,daphnia,15,0,15,0.5,44,778.8
13,daphnia,15,0,15,0.5,42,743.4
14,daphnia,15,0,15,0.5,45,796.5
15,daphnia,15,0,15,0.5,37,654.9
16,daphnia,15,0,15,0.5,36,637.2
17,daphnia,15,0,15,0.5,39,690.3
18,daphnia,15,0,15,0.5,41,725.7
19,daphnia,15,0,15,0.5,36,637.2
20,daphnia,15,0,15,0.5,40,708
21,daphnia,15,0,15,1,45,796.5
22,daphnia,15,0,15,1,42,743.4
23,daphnia,15,0,15,1,40,708
24,daphnia,15,0,15,1,45,796.5
25,daphnia,15,0,15,1,45,796.5
26,daphnia,15,0,15,1,46,814.2
27,daphnia,15,0,15,1,40,708
28,daphnia,15,0,15,1,53,938.1
29,daphnia,15,0,15,1,48,849.6
30,daphnia,15,0,15,1,46,814.2
31,daphnia,20,0,20,0.1,50,885
32,daphnia,20,0,20,0.1,48,849.6
33,daphnia,20,0,20,0.1,36,637.2
34,daphnia,20,0,20,0.1,51,902.7
35,daphnia,20,0,20,0.1,49,867.3
36,daphnia,20,0,20,0.1,46,814.2
37,daphnia,20,0,20,0.1,51,902.7
38,daphnia,20,0,20,0.1,55,973.5
39,daphnia,20,0,20,0.1,49,867.3
40,daphnia,20,0,20,0.1,53,938.1
41,daphnia,20,0,20,0.5,48,849.6
42,daphnia,20,0,20,0.5,42,743.4
43,daphnia,20,0,20,0.5,50,885
44,daphnia,20,0,20,0.5,53,938.1
45,daphnia,20,0,20,0.5,47,831.9
46,daphnia,20,0,20,0.5,45,796.5
47,daphnia,20,0,20,0.5,44,778.8
48,daphnia,20,0,20,0.5,48,849.6
49,daphnia,20,0,20,0.5,46,814.2
50,daphnia,20,0,20,0.5,47,831.9
51,daphnia,20,0,20,1,47,831.9
52,daphnia,20,0,20,1,55,973.5
53,daphnia,20,0,20,1,50,885
54,daphnia,20,0,20,1,45,796.5
55,daphnia,20,0,20,1,47,831.9
56,daphnia,20,0,20,1,48,849.6
57,daphnia,20,0,20,1,50,885
58,daphnia,20,0,20,1,44,778.8
59,daphnia,25,0,25,0.1,60,1062
60,daphnia,25,0,25,0.1,57,1008.9
61,daphnia,25,0,25,0.1,61,1079.7
62,daphnia,25,0,25,0.1,63,1115.1
63,daphnia,25,0,25,0.1,65,1150.5
64,daphnia,25,0,25,0.1,58,1026.6
65,daphnia,25,0,25,0.1,60,1062
66,daphnia,25,0,25,1,50,885
67,daphnia,25,0,25,1,70,1239
68,daphnia,25,0,25,1,73,1292.1
69,daphnia,25,0,25,1,72,1274.4
70,daphnia,25,0,25,1,67,1185.9
71,daphnia,25,0,25,1,80,1416
72,daphnia,25,0,25,1,78,1380.6
73,daphnia,25,0,25,1,65,1150.5
74,daphnia,20,2,2V,1,65,1150.5
75,daphnia,20,2,2V,1,53,938.1
76,daphnia,20,2,2V,1,60,1062
77,daphnia,20,2,2V,1,40,708
78,daphnia,20,2,2V,1,59,1044.3
79,daphnia,20,2,2V,1,55,973.5
80,daphnia,20,6,6V,1,65,1150.5
81,daphnia,20,6,6V,1,50,885
82,daphnia,20,6,6V,1,65,1150.5
83,daphnia,20,6,6V,1,54,955.8
84,daphnia,20,6,6V,1,52,920.4
85,daphnia,20,6,6V,1,67,1185.9
86,daphnia,20,6,6V,1,47,831.9
87,daphnia,20,14,14V,1,57,1008.9
88,daphnia,20,14,14V,1,45,796.5
89,daphnia,20,14,14V,1,54,955.8
90,daphnia,20,14,14V,1,45,796.5
