tube,temp,resource,species,exposed,male,removed,KBP,missing,mortality_day,end_data_date,length_RAW,length_mag_correction,lm_corr_factor,inf,spore_RAW,spore_water_added,length,spore_exposure
1,2V,1,D,1,NA,NA,NA,NA,4/19/22,NA,85,NA,NA,1,159,0,1.5181,200
2,2V,1,D,1,NA,NA,NA,NA,4/20/22,NA,92,NA,NA,1,281,0,1.64312,200
3,2V,1,D,1,NA,NA,NA,NA,4/23/22,NA,82,NA,NA,1,99,1,1.46452,200
4,2V,1,D,1,NA,1,NA,NA,NA,5/18/22,81,1,-2,0,NA,NA,2.025,200
5,2V,1,D,1,NA,NA,NA,NA,4/26/22,NA,83,NA,NA,1,80,1,1.48238,200
6,2V,1,D,1,NA,NA,NA,NA,4/22/22,NA,90,NA,NA,1,165,1,1.6074,200
7,2V,1,D,1,NA,NA,NA,NA,4/20/22,NA,87,NA,NA,1,218,0,1.55382,200
8,2V,1,D,1,NA,NA,NA,NA,4/20/22,NA,80,NA,NA,1,192,0,1.4288,200
9,2V,1,D,1,NA,NA,NA,1,NA,4/11/22,NA,NA,NA,NA,NA,NA,NA,200
10,2V,1,D,1,NA,NA,NA,NA,4/29/22,NA,NA,NA,NA,0,0,NA,NA,200
11,2V,1,D,1,NA,NA,NA,NA,4/22/22,NA,82,NA,NA,1,112,1,1.46452,200
12,2V,1,D,1,NA,NA,NA,NA,4/22/22,NA,82,NA,NA,1,87,1,1.46452,200
13,2V,1,D,1,NA,NA,NA,NA,4/20/22,NA,NA,NA,NA,1,81,0,NA,200
14,2V,1,D,1,NA,NA,NA,NA,4/29/22,NA,NA,NA,NA,1,97,1,NA,200
15,2V,1,D,1,NA,NA,NA,NA,4/23/22,NA,79,NA,NA,1,104,1,1.41094,200
16,2V,1,D,1,NA,NA,NA,NA,4/20/22,NA,69,NA,NA,1,211,0,1.23234,200
17,2V,1,D,1,NA,1,NA,NA,NA,5/18/22,82,1,-2,0,NA,NA,2.05,200
18,2V,1,D,1,NA,NA,NA,NA,4/23/22,NA,84,NA,NA,1,88,1,1.50024,200
19,2V,1,D,1,NA,NA,NA,NA,4/10/22,NA,52,NA,NA,NA,NA,NA,0.92872,200
20,2V,1,D,1,NA,NA,NA,NA,4/25/22,NA,97,NA,NA,1,152,1,1.73242,200
21,2V,1,D,1,NA,NA,NA,NA,4/22/22,NA,82,NA,NA,1,170,1,1.46452,200
22,2V,1,D,1,NA,NA,NA,NA,4/23/22,NA,82,NA,NA,1,88,1,1.46452,200
23,2V,1,D,1,NA,NA,NA,NA,4/22/22,NA,76,NA,NA,1,109,1,1.35736,200
24,2V,1,D,1,NA,NA,NA,NA,5/3/22,NA,100,NA,NA,0,0,1,1.786,200
25,2V,1,D,1,NA,NA,NA,NA,4/25/22,NA,89,NA,NA,1,112,1,1.58954,200
26,2V,1,D,1,NA,NA,NA,NA,4/22/22,NA,87,NA,NA,0,0,1,1.55382,200
27,2V,1,D,1,NA,1,NA,NA,NA,5/18/22,81,1,-2,0,NA,NA,2.025,200
28,2V,1,D,1,NA,NA,NA,NA,4/20/22,NA,83,NA,NA,1,218,0,1.48238,200
29,2V,1,D,1,NA,NA,NA,NA,4/23/22,NA,83,NA,NA,1,140,1,1.48238,200
30,2V,1,D,1,NA,NA,NA,NA,4/23/22,NA,86,NA,NA,1,322,0,1.53596,200
31,2V,1,D,1,NA,NA,NA,NA,4/11/22,NA,NA,NA,NA,0,NA,NA,NA,200
32,2V,1,D,1,NA,NA,NA,NA,4/25/22,NA,NA,NA,NA,1,88,1,NA,200
33,2V,1,D,1,NA,NA,NA,NA,4/24/22,NA,93,NA,NA,1,117,1,1.66098,200
34,2V,1,D,1,NA,NA,NA,1,NA,4/12/22,NA,NA,NA,NA,NA,NA,NA,200
35,2V,1,D,1,NA,NA,NA,NA,4/25/22,NA,92,NA,NA,1,101,1,1.64312,200
36,2V,1,D,0,NA,NA,NA,NA,5/23/22,NA,94,1,-1,0,NA,NA,1.88,200
37,2V,1,D,0,NA,1,NA,NA,NA,5/23/22,84,1,-2,0,NA,NA,2.1,200
38,2V,1,D,0,NA,1,NA,NA,NA,5/23/22,85,1,-2,0,NA,NA,2.125,200
39,2V,1,D,0,1,NA,NA,NA,4/30/22,NA,61,NA,NA,0,NA,NA,1.08946,200
40,2V,1,D,0,NA,NA,NA,NA,5/21/22,NA,96,1,-1,0,NA,NA,1.92,200
41,2V,1,D,0,NA,1,NA,NA,NA,5/23/22,84,1,-2,0,NA,NA,2.1,200
42,2V,1,D,0,NA,NA,NA,NA,5/22/22,NA,79,1,-2,0,NA,NA,1.975,200
43,2V,1,D,0,NA,NA,NA,NA,5/21/22,NA,83,1,-2,0,NA,NA,2.075,200
44,2V,1,D,0,NA,NA,NA,NA,5/8/22,NA,95,1,-1,0,NA,NA,1.9,200
45,2V,1,D,0,NA,NA,NA,NA,5/20/22,NA,NA,NA,NA,0,NA,NA,NA,200
46,2V,1,D,0,NA,NA,NA,NA,5/21/22,NA,84,1,-2,0,NA,NA,2.1,200
47,2V,1,D,0,NA,1,NA,NA,NA,5/23/22,83,1,-2,0,NA,NA,2.075,200
48,2V,1,D,0,NA,1,NA,NA,NA,5/23/22,98,1,-1,0,NA,NA,1.96,200
49,2V,1,D,0,NA,1,NA,NA,NA,5/23/22,86,1,-2,0,NA,NA,2.15,200
50,2V,1,D,0,1,NA,NA,NA,NA,5/1/22,66,NA,NA,0,NA,NA,1.17876,200
51,6V,1,D,1,NA,NA,NA,NA,4/22/22,NA,85,NA,NA,1,108,1,1.5181,200
52,6V,1,D,1,NA,NA,NA,NA,5/13/22,NA,95,NA,NA,0,NA,NA,1.6967,200
53,6V,1,D,1,NA,NA,NA,NA,4/30/22,NA,88,NA,NA,1,243,1,1.57168,200
54,6V,1,D,1,NA,1,NA,NA,NA,5/18/22,84,1,-2,0,NA,NA,2.1,200
55,6V,1,D,1,NA,NA,NA,NA,4/30/22,NA,89,NA,NA,1,131,1,1.58954,200
56,6V,1,D,1,NA,NA,NA,NA,4/30/22,NA,90,NA,NA,1,152,1,1.6074,200
57,6V,1,D,1,NA,NA,NA,NA,4/29/22,NA,90,NA,NA,1,170,1,1.6074,200
58,6V,1,D,1,NA,NA,NA,NA,4/26/22,NA,90,NA,NA,1,102,1,1.6074,200
59,6V,1,D,1,NA,NA,NA,NA,4/30/22,NA,93,NA,NA,1,167,1,1.66098,200
60,6V,1,D,1,NA,NA,NA,NA,4/29/22,NA,89,NA,NA,1,197,1,1.58954,200
61,6V,1,D,1,NA,NA,NA,NA,4/22/22,NA,83,NA,NA,1,122,1,1.48238,200
62,6V,1,D,1,NA,NA,NA,NA,5/3/22,NA,89,NA,NA,1,203,1,1.58954,200
63,6V,1,D,1,NA,NA,NA,NA,4/25/22,NA,85,NA,NA,1,115,1,1.5181,200
64,6V,1,D,1,NA,NA,NA,NA,4/27/22,NA,96,NA,NA,1,113,1,1.71456,200
65,6V,1,D,1,NA,NA,NA,NA,4/29/22,NA,90,NA,NA,1,146,1,1.6074,200
66,6V,1,D,1,NA,NA,NA,1,NA,4/12/22,NA,NA,NA,NA,NA,NA,NA,200
67,6V,1,D,1,NA,NA,NA,NA,4/26/22,NA,87,NA,NA,1,126,1,1.55382,200
68,6V,1,D,1,NA,NA,NA,NA,4/24/22,NA,88,NA,NA,1,71,1,1.57168,200
69,6V,1,D,1,NA,NA,NA,NA,4/30/22,NA,93,NA,NA,1,204,1,1.66098,200
70,6V,1,D,1,NA,NA,NA,NA,5/10/22,NA,95,1,-1,0,0,1,1.9,200
71,6V,1,D,1,NA,NA,NA,NA,4/29/22,NA,93,NA,NA,1,139,1,1.66098,200
72,6V,1,D,1,NA,NA,NA,NA,4/28/22,NA,NA,NA,NA,1,54,1,NA,200
73,6V,1,D,1,NA,NA,NA,NA,4/25/22,NA,83,NA,NA,1,102,1,1.48238,200
74,6V,1,D,1,NA,1,NA,NA,NA,5/18/22,94,1,-1,0,NA,NA,1.88,200
75,6V,1,D,1,NA,NA,NA,NA,5/1/22,NA,92,NA,NA,1,188,1,1.64312,200
76,6V,1,D,1,NA,NA,NA,NA,4/28/22,NA,94,NA,NA,1,194,1,1.67884,200
77,6V,1,D,1,NA,NA,NA,1,NA,4/25/22,NA,NA,NA,NA,NA,NA,NA,200
78,6V,1,D,1,NA,NA,NA,NA,5/4/22,NA,90,NA,NA,1,182,1,1.6074,200
79,6V,1,D,1,NA,1,NA,NA,NA,5/18/22,89,1,-1,0,NA,NA,1.78,200
80,6V,1,D,1,1,NA,NA,NA,NA,4/30/22,60,NA,NA,0,NA,NA,1.0716,200
81,6V,1,D,1,NA,NA,NA,NA,4/21/22,NA,87,NA,NA,1,197,0,1.55382,200
82,6V,1,D,1,NA,1,NA,NA,NA,5/18/22,82,1,-1,0,NA,NA,1.64,200
83,6V,1,D,1,NA,NA,NA,NA,4/25/22,NA,89,NA,NA,1,92,1,1.58954,200
84,6V,1,D,1,NA,NA,NA,NA,4/25/22,NA,87,NA,NA,1,79,1,1.55382,200
85,6V,1,D,1,NA,NA,NA,NA,4/28/22,NA,88,NA,NA,1,142,1,1.57168,200
86,6V,1,D,0,NA,1,NA,NA,NA,5/18/22,87,1,-2,0,NA,NA,2.175,200
87,6V,1,D,0,NA,NA,NA,NA,5/23/22,NA,84,1,-2,0,NA,NA,2.1,200
88,6V,1,D,0,NA,NA,NA,NA,5/23/22,NA,84,1,-2,0,NA,NA,2.1,200
89,6V,1,D,0,NA,1,NA,NA,NA,5/23/22,100,1,-1,0,NA,NA,2,200
