plate,well,sample,size,resource,temp,read
8,4,0,na,0.1,25,2767
8,8,0,na,0.1,25,2628
8,16,0,na,0.1,25,2839
8,20,0,na,0.1,25,2735
8,28,0,na,0.1,25,2672
8,32,0,na,0.1,25,2688
8,40,0,na,0.1,25,2586
8,44,0,na,0.1,25,2609
8,52,0,na,0.1,25,2716
8,56,0,na,0.1,25,2672
8,61,0,na,0.1,25,2857
8,62,0,na,0.1,25,2749
8,63,0,na,0.1,25,2594
8,64,0,na,0.1,25,2655
8,65,0,na,0.1,25,2721
8,66,0,na,0.1,25,2682
8,67,0,na,0.1,25,2758
8,68,0,na,0.1,25,2484
8,69,0,na,0.1,25,2766
8,70,0,na,0.1,25,2831
8,71,0,na,0.1,25,2813
8,72,0,na,0.1,25,2691
8,76,0,na,0.1,25,2550
8,80,0,na,0.1,25,2712
8,81,0,na,0.1,25,3566
8,82,0,na,0.1,25,3708
8,83,0,na,0.1,25,3482
8,84,0,na,0.1,25,3306
8,85,0,na,0.1,25,2726
8,86,0,na,0.1,25,2664
8,87,0,na,0.1,25,2846
8,88,0,na,0.1,25,2713
8,89,0,na,0.1,25,2599
8,90,0,na,0.1,25,2655
8,91,0,na,0.1,25,2625
8,92,0,na,0.1,25,2757
8,93,0,na,0.1,25,2690
8,94,0,na,0.1,25,2540
8,95,0,na,0.1,25,2592
8,96,0,na,0.1,25,2602
4,4,0,na,1,25,2605
4,8,0,na,1,25,2661
4,16,0,na,1,25,2682
4,20,0,na,1,25,2602
4,28,0,na,1,25,2541
4,32,0,na,1,25,2502
4,40,0,na,1,25,2619
4,44,0,na,1,25,2529
4,52,0,na,1,25,2730
4,56,0,na,1,25,2722
4,61,0,na,1,25,2577
4,62,0,na,1,25,2956
4,63,0,na,1,25,2673
4,64,0,na,1,25,2609
4,65,0,na,1,25,2651
4,66,0,na,1,25,2630
4,67,0,na,1,25,2679
4,68,0,na,1,25,2534
4,69,0,na,1,25,2648
4,70,0,na,1,25,2671
4,71,0,na,1,25,2607
4,72,0,na,1,25,2696
4,76,0,na,1,25,2707
4,80,0,na,1,25,2603
4,85,0,na,1,25,2567
4,86,0,na,1,25,1970
4,87,0,na,1,25,2534
4,88,0,na,1,25,2606
4,89,0,na,1,25,2869
4,90,0,na,1,25,2533
4,91,0,na,1,25,2676
4,92,0,na,1,25,2602
4,93,0,na,1,25,2615
4,94,0,na,1,25,2610
4,95,0,na,1,25,2690
4,96,0,na,1,25,2751
8,1,1,small,0.1,25,4775
8,2,1,small,0.1,25,4228
8,3,1,small,0.1,25,8606
8,13,2,small,0.1,25,8618
8,14,2,small,0.1,25,4525
8,15,2,small,0.1,25,8817
8,25,3,small,0.1,25,7296
8,26,3,small,0.1,25,7514
8,27,3,small,0.1,25,4742
8,37,4,small,0.1,25,7861
8,38,4,small,0.1,25,9326
8,39,4,small,0.1,25,6047
8,49,5,small,0.1,25,4241
8,50,5,small,0.1,25,4366
8,51,5,small,0.1,25,7565
8,5,6,big,0.1,25,4609
8,6,6,big,0.1,25,4274
8,7,6,big,0.1,25,4091
8,17,7,big,0.1,25,3945
8,18,7,big,0.1,25,3703
8,19,7,big,0.1,25,4043
8,29,8,big,0.1,25,3911
8,30,8,big,0.1,25,3539
8,31,8,big,0.1,25,4075
8,41,9,big,0.1,25,4181
8,42,9,big,0.1,25,4046
8,43,9,big,0.1,25,4292
8,53,10,big,0.1,25,3869
8,54,10,big,0.1,25,3500
8,55,10,big,0.1,25,4135
4,1,11,small,1,25,5240
4,2,11,small,1,25,5193
4,3,11,small,1,25,5047
4,13,12,small,1,25,5384
4,14,12,small,1,25,4748
