date,plate,resource,temp,well_number,sample,read
3/6/2023,1,0.1,15,1,1,5128
3/6/2023,1,0.1,15,2,1,4334
3/6/2023,1,0.1,15,3,1,3521
3/6/2023,1,0.1,15,4,0,2716
3/6/2023,1,0.1,15,5,6,5000
3/6/2023,1,0.1,15,6,6,4032
3/6/2023,1,0.1,15,7,6,3193
3/6/2023,1,0.1,15,8,0,2645
3/6/2023,1,0.1,15,9,11,3906
3/6/2023,1,0.1,15,10,11,4744
3/6/2023,1,0.1,15,11,11,5091
3/6/2023,1,0.1,15,12,0,2671
3/6/2023,1,0.1,15,13,2,4637
3/6/2023,1,0.1,15,14,2,3253
3/6/2023,1,0.1,15,15,2,7364
3/6/2023,1,0.1,15,16,0,2661
3/6/2023,1,0.1,15,17,7,4291
3/6/2023,1,0.1,15,18,7,3935
3/6/2023,1,0.1,15,19,7,3975
3/6/2023,1,0.1,15,20,0,2524
3/6/2023,1,0.1,15,21,12,9418
3/6/2023,1,0.1,15,22,12,9081
3/6/2023,1,0.1,15,23,12,9256
3/6/2023,1,0.1,15,24,0,2699
3/6/2023,1,0.1,15,25,3,5062
3/6/2023,1,0.1,15,26,3,4074
3/6/2023,1,0.1,15,27,3,4217
3/6/2023,1,0.1,15,28,0,2759
3/6/2023,1,0.1,15,29,8,4471
3/6/2023,1,0.1,15,30,8,5969
3/6/2023,1,0.1,15,31,8,4054
3/6/2023,1,0.1,15,32,0,2561
3/6/2023,1,0.1,15,33,13,3762
3/6/2023,1,0.1,15,34,13,3760
3/6/2023,1,0.1,15,35,13,3949
3/6/2023,1,0.1,15,36,0,2734
3/6/2023,1,0.1,15,37,4,2521
3/6/2023,1,0.1,15,38,4,6848
3/6/2023,1,0.1,15,39,4,4134
3/6/2023,1,0.1,15,40,0,2600
3/6/2023,1,0.1,15,41,9,4261
3/6/2023,1,0.1,15,42,9,4640
3/6/2023,1,0.1,15,43,9,6484
3/6/2023,1,0.1,15,44,0,2780
3/6/2023,1,0.1,15,45,14,3654
3/6/2023,1,0.1,15,46,14,3600
3/6/2023,1,0.1,15,47,14,3865
3/6/2023,1,0.1,15,48,0,2621
3/6/2023,1,0.1,15,49,5,4414
3/6/2023,1,0.1,15,50,5,3859
3/6/2023,1,0.1,15,51,5,4683
3/6/2023,1,0.1,15,52,0,2567
3/6/2023,1,0.1,15,53,10,7515
3/6/2023,1,0.1,15,54,10,4636
3/6/2023,1,0.1,15,55,10,4247
3/6/2023,1,0.1,15,56,0,2648
3/6/2023,1,0.1,15,57,15,3762
3/6/2023,1,0.1,15,58,15,4060
3/6/2023,1,0.1,15,59,15,3863
3/6/2023,1,0.1,15,60,0,2660
3/6/2023,1,0.1,15,61,C1,3515
3/6/2023,1,0.1,15,62,C1,3242
3/6/2023,1,0.1,15,63,C1,3384
3/6/2023,1,0.1,15,64,0,2637
3/6/2023,1,0.1,15,65,C2,3126
3/6/2023,1,0.1,15,66,C2,3307
3/6/2023,1,0.1,15,67,C2,3141
3/6/2023,1,0.1,15,68,0,2683
3/6/2023,1,0.1,15,69,C3,3289
3/6/2023,1,0.1,15,70,C3,3486
3/6/2023,1,0.1,15,71,C3,3462
3/6/2023,1,0.1,15,72,0,2839
3/6/2023,1,0.1,15,73,C4,3486
3/6/2023,1,0.1,15,74,C4,3701
3/6/2023,1,0.1,15,75,C4,5405
3/6/2023,1,0.1,15,76,0,2606
3/6/2023,1,0.1,15,77,C5,5204
3/6/2023,1,0.1,15,78,C5,5291
3/6/2023,1,0.1,15,79,C5,4951
3/6/2023,1,0.1,15,80,0,2799
3/6/2023,1,0.1,15,81,C6,4526
3/6/2023,1,0.1,15,82,C6,3638
3/6/2023,1,0.1,15,83,C6,3748
3/6/2023,1,0.1,15,84,0,2615
3/6/2023,1,0.1,15,85,R,4200
3/6/2023,1,0.1,15,86,R,4068
3/6/2023,1,0.1,15,87,R,4592
3/6/2023,1,0.1,15,88,0,2588
3/6/2023,1,0.1,15,89,R,4348
3/6/2023,1,0.1,15,90,R,4572
3/6/2023,1,0.1,15,91,R,3701
3/6/2023,1,0.1,15,92,0,2696
3/6/2023,1,0.1,15,93,R,4686
3/6/2023,1,0.1,15,94,R,4502
3/6/2023,1,0.1,15,95,R,4077
3/6/2023,1,0.1,15,96,0,2813
3/6/2023,2,0.1,15,1,16,3719
3/6/2023,2,0.1,15,2,16,3798
3/6/2023,2,0.1,15,3,16,3550
