Temperature,Proportion_Infected
15,0
15,0.285714
15,0.142857
15,0
15,0
15,0.2
15,0.125
15,0.428571
15,0.25
15,0.5
15,0.625
15,0
15,0.428571
15,0.166667
15,0
20,0.4
20,0.125
20,0.571429
20,0.375
20,0.666667
20,0.4
20,0.571429
20,0.142857
20,0.428571
20,0.285714
20,0.333333
20,0.428571
20,0.4
20,0.428571
20,0.142857
25,0
25,0.125
25,0
25,0
25,0.142857
25,0.363636
25,0
25,0.125
25,0
25,0.166667
25,0.285714
25,0
25,0
25,0.142857
25,0
Fluctuating,0.166667
Fluctuating,0.625
Fluctuating,0.625
Fluctuating,0.125
Fluctuating,0.375
Fluctuating,0
Fluctuating,0.142857
Fluctuating,0.625
Fluctuating,0.428571
Fluctuating,0.375
Fluctuating,0.75
Fluctuating,0.571429
Fluctuating,0.142857
Fluctuating,0.857143
Fluctuating,0.333333
