plate,sample,plate_reader_value,expected_value,exp,temp,resource,tube
1,1,7008,trt,for,15,0.1,1
1,C1,4221,0.1,for_controls,15,0.1,NA
1,6,3964,trt,for,15,0.1,6
1,6,4544,trt,for,15,0.1,6
1,C3,4111,0.1,for_controls,15,0.1,NA
1,11,5611,trt,for,15,0.1,11
1,11,3732,trt,for,15,0.1,11
1,11,4580,trt,for,15,0.1,11
1,1,7532,trt,for,15,0.1,1
1,2,5202,trt,for,15,0.1,2
1,2,5570,trt,for,15,0.1,2
1,C5,7822,0.1,for_controls,15,0.1,NA
6,R,5579,1,for_controls,15,NA,NA
6,R,5665,1,for_controls,15,NA,NA
6,R,4836,1,for_controls,15,NA,NA
6,C5,6295,1,for_controls,15,1,NA
6,R,5773,1,for_controls,15,NA,NA
6,R,4875,1,for_controls,15,NA,NA
6,R,5542,1,for_controls,15,NA,NA
6,C5,5949,1,for_controls,15,1,NA
6,R,5152,1,for_controls,15,NA,NA
6,R,4629,1,for_controls,15,NA,NA
6,R,5151,1,for_controls,15,NA,NA
6,C5,2704,1,for_controls,15,1,NA
2,R,9211,1,for_controls,15,NA,NA
2,R,7068,1,for_controls,15,NA,NA
2,R,5524,1,for_controls,15,NA,NA
2,C5,3484,0.1,for_controls,15,0.1,NA
2,R,5901,1,for_controls,15,NA,NA
2,R,5144,1,for_controls,15,NA,NA
2,R,5121,1,for_controls,15,NA,NA
2,C5,3114,0.1,for_controls,15,0.1,NA
2,R,5176,1,for_controls,15,NA,NA
2,R,5224,1,for_controls,15,NA,NA
2,R,5266,1,for_controls,15,NA,NA
2,C5,4241,0.1,for_controls,15,0.1,NA
7,91,3339,trt,for,20,0.1,91
7,91,767,trt,for,20,0.1,91
7,91,4862,trt,for,20,0.1,91
7,C1,3383,0.1,for_controls,20,0.1,NA
7,96,3405,trt,for,20,0.1,96
7,96,3188,trt,for,20,0.1,96
7,96,3242,trt,for,20,0.1,96
7,C3,3384,0.1,for_controls,20,0.1,NA
7,101,3383,trt,for,20,0.1,101
7,101,1692,trt,for,20,0.1,101
7,101,5934,trt,for,20,0.1,101
1,5,3461,trt,for,15,0.1,5
7,92,4067,trt,for,20,0.1,92
