trt,label,temp,resource,tube,label,color
trt,for,15,0.1,1,for_15_0.1_1,color 1
trt,for,15,0.1,2,for_15_0.1_2,color 1
trt,for,15,0.1,3,for_15_0.1_3,color 1
trt,for,15,0.1,4,for_15_0.1_4,color 1
trt,for,15,0.1,5,for_15_0.1_5,color 1
trt,for,15,0.1,6,for_15_0.1_6,color 1
trt,for,15,0.1,7,for_15_0.1_7,color 1
trt,for,15,0.1,8,for_15_0.1_8,color 1
trt,for,15,0.1,9,for_15_0.1_9,color 1
trt,for,15,0.1,10,for_15_0.1_10,color 1
trt,for,15,0.1,11,for_15_0.1_11,color 1
trt,for,15,0.1,12,for_15_0.1_12,color 1
trt,for,15,0.1,13,for_15_0.1_13,color 1
trt,for,15,0.1,14,for_15_0.1_14,color 1
trt,for,15,0.1,15,for_15_0.1_15,color 1
trt,for,15,0.1,16,for_15_0.1_16,color 1
trt,for,15,0.1,17,for_15_0.1_17,color 1
trt,for,15,0.1,18,for_15_0.1_18,color 1
trt,for,15,0.1,19,for_15_0.1_19,color 1
trt,for,15,0.1,20,for_15_0.1_20,color 1
trt,for,15,0.1,21,for_15_0.1_21,color 1
trt,for,15,0.1,22,for_15_0.1_22,color 1
trt,for,15,0.1,23,for_15_0.1_23,color 1
trt,for,15,0.1,24,for_15_0.1_24,color 1
trt,for,15,0.1,25,for_15_0.1_25,color 1
trt,for,15,0.1,26,for_15_0.1_26,color 1
trt,for,15,0.1,27,for_15_0.1_27,color 1
trt,for,15,0.1,28,for_15_0.1_28,color 1
trt,for,15,0.1,29,for_15_0.1_29,color 1
trt,for,15,0.1,30,for_15_0.1_30,color 1
trt,for,15,0.5,31,for_15_0.5_31,color 2
trt,for,15,0.5,32,for_15_0.5_32,color 2
trt,for,15,0.5,33,for_15_0.5_33,color 2
trt,for,15,0.5,34,for_15_0.5_34,color 2
trt,for,15,0.5,35,for_15_0.5_35,color 2
trt,for,15,0.5,36,for_15_0.5_36,color 2
trt,for,15,0.5,37,for_15_0.5_37,color 2
trt,for,15,0.5,38,for_15_0.5_38,color 2
trt,for,15,0.5,39,for_15_0.5_39,color 2
trt,for,15,0.5,40,for_15_0.5_40,color 2
trt,for,15,0.5,41,for_15_0.5_41,color 2
trt,for,15,0.5,42,for_15_0.5_42,color 2
trt,for,15,0.5,43,for_15_0.5_43,color 2
trt,for,15,0.5,44,for_15_0.5_44,color 2
trt,for,15,0.5,45,for_15_0.5_45,color 2
trt,for,15,0.5,46,for_15_0.5_46,color 2
trt,for,15,0.5,47,for_15_0.5_47,color 2
trt,for,15,0.5,48,for_15_0.5_48,color 2
trt,for,15,0.5,49,for_15_0.5_49,color 2
trt,for,15,0.5,50,for_15_0.5_50,color 2
trt,for,15,0.5,51,for_15_0.5_51,color 2
trt,for,15,0.5,52,for_15_0.5_52,color 2
trt,for,15,0.5,53,for_15_0.5_53,color 2
trt,for,15,0.5,54,for_15_0.5_54,color 2
trt,for,15,0.5,55,for_15_0.5_55,color 2
trt,for,15,0.5,56,for_15_0.5_56,color 2
trt,for,15,0.5,57,for_15_0.5_57,color 2
trt,for,15,0.5,58,for_15_0.5_58,color 2
trt,for,15,0.5,59,for_15_0.5_59,color 2
trt,for,15,0.5,60,for_15_0.5_60,color 2
trt,for,15,1,61,for_15_1_61,color 3
trt,for,15,1,62,for_15_1_62,color 3
trt,for,15,1,63,for_15_1_63,color 3
trt,for,15,1,64,for_15_1_64,color 3
trt,for,15,1,65,for_15_1_65,color 3
trt,for,15,1,66,for_15_1_66,color 3
trt,for,15,1,67,for_15_1_67,color 3
trt,for,15,1,68,for_15_1_68,color 3
trt,for,15,1,69,for_15_1_69,color 3
trt,for,15,1,70,for_15_1_70,color 3
trt,for,15,1,71,for_15_1_71,color 3
trt,for,15,1,72,for_15_1_72,color 3
trt,for,15,1,73,for_15_1_73,color 3
trt,for,15,1,74,for_15_1_74,color 3
trt,for,15,1,75,for_15_1_75,color 3
trt,for,15,1,76,for_15_1_76,color 3
trt,for,15,1,77,for_15_1_77,color 3
trt,for,15,1,78,for_15_1_78,color 3
trt,for,15,1,79,for_15_1_79,color 3
trt,for,15,1,80,for_15_1_80,color 3
trt,for,15,1,81,for_15_1_81,color 3
trt,for,15,1,82,for_15_1_82,color 3
trt,for,15,1,83,for_15_1_83,color 3
trt,for,15,1,84,for_15_1_84,color 3
trt,for,15,1,85,for_15_1_85,color 3
trt,for,15,1,86,for_15_1_86,color 3
trt,for,15,1,87,for_15_1_87,color 3
trt,for,15,1,88,for_15_1_88,color 3
trt,for,15,1,89,for_15_1_89,color 3
trt,for,15,1,90,for_15_1_90,color 3
trt,for,20,0.1,91,for_20_0.1_91,color 1
trt,for,20,0.1,92,for_20_0.1_92,color 1
