trt,temp,resource,tube,label,block,read,time_measured_hr,time_measured_min,time_out_hr,time_out_min,time_in_hr,time_in_min,length,eggs,notes
trt,15,0.1,1,for_15_0.1_1,A,35.51,15,13,14,45,6,5,43,0,
trt,15,0.1,2,for_15_0.1_2,A,36.05,15,13,14,45,6,5,47,0,
trt,15,0.1,3,for_15_0.1_3,A,29.83,15,13,14,45,6,5,46,0,
trt,15,0.1,4,for_15_0.1_4,A,33.54,15,13,14,45,6,5,37,0,
trt,15,0.1,5,for_15_0.1_5,A,31.71,15,13,14,45,6,5,43,0,
trt,15,0.1,6,for_15_0.1_6,A,32.91,15,13,14,45,6,5,41,0,
trt,15,0.1,7,for_15_0.1_7,A,23.98,15,13,14,45,6,5,44,0,
trt,15,0.1,8,for_15_0.1_8,A,31.08,15,13,14,45,6,5,41,0,
trt,15,0.1,9,for_15_0.1_9,A,28.44,15,13,14,45,6,5,43,0,
trt,15,0.1,10,for_15_0.1_10,A,21.85,15,13,14,45,6,5,46,0,
trt,15,0.1,11,for_15_0.1_11,A,25.94,15,13,14,45,6,5,39,0,
trt,15,0.1,12,for_15_0.1_12,A,34.67,15,13,14,45,6,5,44,0,
trt,15,0.1,13,for_15_0.1_13,A,27.11,15,13,14,45,6,5,42,0,
trt,15,0.1,14,for_15_0.1_14,A,28.11,15,13,14,45,6,5,45,0,
trt,15,0.1,15,for_15_0.1_15,A,20.84,15,13,14,45,6,5,47,0,
trt,15,0.1,16,for_15_0.1_16,B,23.91,16,46,16,46,6,5,45,0,
trt,15,0.1,17,for_15_0.1_17,B,23.08,16,46,16,46,6,5,45,0,
trt,15,0.1,18,for_15_0.1_18,B,22.7,16,46,16,46,6,5,47,0,
trt,15,0.1,19,for_15_0.1_19,B,24.4,16,46,16,46,6,5,45,0,
trt,15,0.1,20,for_15_0.1_20,B,20.19,16,46,16,46,6,5,49,0,
trt,15,0.1,21,for_15_0.1_21,B,25.66,16,46,16,46,6,5,42,0,
trt,15,0.1,22,for_15_0.1_22,B,22.44,16,46,16,46,6,5,48,0,
trt,15,0.1,23,for_15_0.1_23,B,23.93,16,46,16,46,6,5,43,0,
trt,15,0.1,24,for_15_0.1_24,B,24.59,16,51,16,46,6,5,NA,NA,
trt,15,0.1,25,for_15_0.1_25,B,28.41,16,51,16,46,6,5,43,0,
trt,15,0.1,26,for_15_0.1_26,B,20.21,16,51,16,46,6,5,45,0,
trt,15,0.1,27,for_15_0.1_27,B,21.65,16,51,16,46,6,5,48,0,
trt,15,0.1,28,for_15_0.1_28,B,25.53,16,51,16,46,6,5,46,0,
trt,15,0.1,29,for_15_0.1_29,B,34.41,16,51,16,46,6,5,NA,NA,
trt,15,0.1,30,for_15_0.1_30,B,26.96,16,51,16,46,6,5,41,0,
trt,15,0.5,31,for_15_0.5_31,B,196.8,17,11,16,46,6,5,NA,NA,
trt,15,0.5,32,for_15_0.5_32,B,180.2,17,11,16,46,6,5,46,0,
trt,15,0.5,33,for_15_0.5_33,B,175.1,17,11,16,46,6,5,44,0,
