tube,species,mean_temp,temp_var,temp_id,resource,male,removed,KBP,missing,mortality_day,lifespan,end_data_date,length_RAW,length_mag_correction,lm_corr_factor,inf,spore_RAW,spore_water_added,notes
1,daphnia,20,2,2V,1,,,,,4/19/22,14,,85,,,1,159,0,
2,daphnia,20,2,2V,1,,,,,4/20/22,15,,92,,,1,281,0,
3,daphnia,20,2,2V,1,,,,,4/23/22,18,,82,,,1,99,1,
4,daphnia,20,2,2V,1,,1,,,NA,NA,5/18/22,81,1,-2,0,NA,,
5,daphnia,20,2,2V,1,,,,,4/26/22,21,,83,,,1,80,1,
6,daphnia,20,2,2V,1,,,,,4/22/22,17,,90,,,1,165,1,
7,daphnia,20,2,2V,1,,,,,4/20/22,15,,87,,,1,218,0,
8,daphnia,20,2,2V,1,,,,,4/20/22,15,,80,,,1,192,0,
9,daphnia,20,2,2V,1,,,,1,NA,NA,4/11/22,NA,,,NA,NA,,
10,daphnia,20,2,2V,1,,,,,4/29/22,24,,NA,,,0,0,,
11,daphnia,20,2,2V,1,,,,,4/22/22,17,,82,,,1,112,1,
12,daphnia,20,2,2V,1,,,,,4/22/22,17,,82,,,1,87,1,
13,daphnia,20,2,2V,1,,,,,4/20/22,15,,NA,,,1,81,0,
14,daphnia,20,2,2V,1,,,,,4/29/22,24,,NA,,,1,97,1,
15,daphnia,20,2,2V,1,,,,,4/23/22,18,,79,,,1,104,1,
16,daphnia,20,2,2V,1,,,,,4/20/22,15,,69,,,1,211,0,
17,daphnia,20,2,2V,1,,1,,,NA,NA,5/18/22,82,1,-2,0,NA,,
18,daphnia,20,2,2V,1,,,,,4/23/22,18,,84,,,1,88,1,
19,daphnia,20,2,2V,1,,,,,4/10/22,5,,52,,,NA,NA,,
20,daphnia,20,2,2V,1,,,,,4/25/22,20,,97,,,1,152,1,
21,daphnia,20,2,2V,1,,,,,4/22/22,17,,82,,,1,170,1,
22,daphnia,20,2,2V,1,,,,,4/23/22,18,,82,,,1,88,1,
23,daphnia,20,2,2V,1,,,,,4/22/22,17,,76,,,1,109,1,
24,daphnia,20,2,2V,1,,,,,5/3/22,28,,100,,,0,0,1,
25,daphnia,20,2,2V,1,,,,,4/25/22,20,,89,,,1,112,1,
26,daphnia,20,2,2V,1,,,,,4/22/22,17,,87,,,0,0,1,
27,daphnia,20,2,2V,1,,1,,,NA,NA,5/18/22,81,1,-2,0,NA,,
28,daphnia,20,2,2V,1,,,,,4/20/22,15,,83,,,1,218,0,
29,daphnia,20,2,2V,1,,,,,4/23/22,18,,83,,,1,140,1,
30,daphnia,20,2,2V,1,,,,,4/23/22,18,,86,,,1,322,0,
31,daphnia,20,2,2V,1,,,,,4/11/22,6,,NA,,,0,NA,,
32,daphnia,20,2,2V,1,,,,,4/25/22,20,,NA,,,1,88,1,
33,daphnia,20,2,2V,1,,,,,4/24/22,19,,93,,,1,117,1,
34,daphnia,20,2,2V,1,,,,1,NA,NA,4/12/22,NA,,,NA,NA,,
35,daphnia,20,2,2V,1,,,,,4/25/22,20,,92,,,1,101,1,
36,daphnia,20,2,2V,1,,,,,5/23/22,48,,94,1,-1,0,NA,,
37,daphnia,20,2,2V,1,,1,,,NA,NA,5/23/22,84,1,-2,0,NA,,
38,daphnia,20,2,2V,1,,1,,,NA,NA,5/23/22,85,1,-2,0,NA,,
39,daphnia,20,2,2V,1,1,,,,4/30/22,25,,61,,,0,NA,,
40,daphnia,20,2,2V,1,,,,,5/21/22,46,,96,1,-1,0,NA,,
41,daphnia,20,2,2V,1,,1,,,NA,NA,5/23/22,84,1,-2,0,NA,,
42,daphnia,20,2,2V,1,,,,,5/22/22,47,,79,1,-2,0,NA,,
43,daphnia,20,2,2V,1,,,,,5/21/22,46,,83,1,-2,0,NA,,
44,daphnia,20,2,2V,1,,,,,5/8/22,33,,95,1,-1,0,NA,,
45,daphnia,20,2,2V,1,,,,,5/20/22,45,,NA,,,0,NA,,
46,daphnia,20,2,2V,1,,,,,5/21/22,46,,84,1,-2,0,NA,,
47,daphnia,20,2,2V,1,,1,,,NA,NA,5/23/22,83,1,-2,0,NA,,
48,daphnia,20,2,2V,1,,1,,,NA,NA,5/23/22,98,1,-1,0,NA,,
