7450-776862
OS REV: 1.05 Sensor Cal: 1635265168
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1659731040,+3.53,+20.556,+12.355,+0.961
1659731640,+3.53,+20.573,+12.473,+0.963
1659732240,+3.53,+20.598,+12.340,+0.960
1659732840,+3.53,+20.590,+12.384,+0.962
1659733440,+3.53,+20.606,+12.539,+0.962
1659734040,+3.53,+20.623,+12.407,+0.962
1659734640,+3.53,+20.606,+12.444,+0.961
1659735240,+3.53,+20.657,+12.303,+0.962
1659735840,+3.53,+20.640,+12.380,+0.962
1659736440,+3.53,+20.632,+12.541,+0.962
1659737040,+3.53,+20.598,+12.528,+0.962
1659737640,+3.53,+20.573,+12.460,+0.961
1659738240,+3.53,+20.539,+12.554,+0.962
1659738840,+3.53,+20.506,+12.711,+0.962
1659739440,+3.53,+20.447,+12.697,+0.962
1659740040,+3.53,+20.422,+12.768,+0.962
1659740640,+3.53,+20.380,+12.703,+0.962
1659741240,+3.53,+20.347,+12.648,+0.962
1659741840,+3.53,+20.305,+12.574,+0.962
1659742440,+3.53,+20.313,+12.573,+0.962
1659743040,+3.53,+20.313,+12.689,+0.962
1659743640,+3.53,+20.313,+12.689,+0.962
1659744240,+3.53,+20.322,+12.716,+0.962
1659744840,+3.53,+20.339,+12.596,+0.962
1659745440,+3.53,+20.339,+12.568,+0.962
1659746040,+3.53,+20.339,+12.559,+0.961
1659746640,+3.53,+20.347,+12.629,+0.963
1659747240,+3.53,+20.364,+12.532,+0.962
1659747840,+3.53,+20.355,+12.495,+0.963
1659748440,+3.53,+20.355,+12.598,+0.962
1659749040,+3.53,+20.389,+12.542,+0.962
1659749640,+3.53,+20.380,+12.513,+0.962
1659750240,+3.53,+20.389,+12.484,+0.962
1659750840,+3.53,+20.380,+12.504,+0.962
1659751440,+3.53,+20.339,+12.230,+0.963
1659752040,+3.53,+20.322,+11.933,+0.962
1659752640,+3.53,+20.322,+11.728,+0.962
1659753240,+3.53,+20.297,+11.691,+0.961
1659753840,+3.53,+20.322,+11.555,+0.961
1659754440,+3.53,+20.313,+11.487,+0.961
1659755040,+3.53,+20.305,+11.427,+0.961
1659755640,+3.53,+20.297,+11.390,+0.961
1659756240,+3.53,+20.280,+11.427,+0.961
1659756840,+3.53,+20.263,+11.448,+0.962
1659757440,+3.53,+20.255,+11.370,+0.962
1659758040,+3.53,+20.246,+11.383,+0.962
1659758640,+3.53,+20.246,+11.318,+0.962
1659759240,+3.53,+20.230,+11.207,+0.961
1659759840,+3.53,+20.255,+11.145,+0.962
1659760440,+3.53,+20.213,+11.021,+0.961
1659761040,+3.53,+20.213,+11.136,+0.961
1659761640,+3.53,+20.196,+11.102,+0.962
1659762240,+3.53,+20.205,+11.133,+0.962
1659762840,+3.53,+20.213,+11.101,+0.961
1659763440,+3.53,+20.196,+11.036,+0.961
1659764040,+3.53,+20.179,+11.060,+0.961
1659764640,+3.53,+20.179,+11.019,+0.962
1659765240,+3.53,+20.179,+10.997,+0.961
1659765840,+3.53,+20.146,+10.923,+0.961
1659766440,+3.53,+20.138,+10.914,+0.960
