"Unix.Timestamp","UTC_Date_._Time","Central.Standard.Time","Battery","Temperature","Dissolved.Oxygen","Dissolved.Oxygen.Saturation","Q"
"(Second)","(none)","(none)","(Volt)","(deg C)","(mg/l)","(%)","(none)"
"1656511980","2022-06-29 14:13:00","2022-06-29 09:13:00","3.53","23.149","8.031",NA,"0.959"
"1656512580","2022-06-29 14:23:00","2022-06-29 09:23:00","3.53","23.032","8.063",NA,"0.959"
"1656513180","2022-06-29 14:33:00","2022-06-29 09:33:00","3.53","23.091","8.05",NA,"0.96"
"1656513780","2022-06-29 14:43:00","2022-06-29 09:43:00","3.53","23.157","8.042",NA,"0.959"
"1656514380","2022-06-29 14:53:00","2022-06-29 09:53:00","3.53","23.953","7.952",NA,"0.957"
"1656514980","2022-06-29 15:03:00","2022-06-29 10:03:00","3.53","21.503","8.041",NA,"0.959"
"1656515580","2022-06-29 15:13:00","2022-06-29 10:13:00","3.53","20.868","7.962",NA,"0.96"
"1656516180","2022-06-29 15:23:00","2022-06-29 10:23:00","3.53","20.592","7.891",NA,"0.96"
"1656516780","2022-06-29 15:33:00","2022-06-29 10:33:00","3.53","20.416","7.823",NA,"0.96"
"1656517380","2022-06-29 15:43:00","2022-06-29 10:43:00","3.54","20.282","7.759",NA,"0.96"
"1656517980","2022-06-29 15:53:00","2022-06-29 10:53:00","3.54","20.19","7.691",NA,"0.96"
"1656518580","2022-06-29 16:03:00","2022-06-29 11:03:00","3.53","20.107","7.64",NA,"0.96"
"1656519180","2022-06-29 16:13:00","2022-06-29 11:13:00","3.53","20.073","7.587",NA,"0.96"
"1656519780","2022-06-29 16:23:00","2022-06-29 11:23:00","3.53","20.023","7.519",NA,"0.96"
"1656520380","2022-06-29 16:33:00","2022-06-29 11:33:00","3.53","19.989","7.521",NA,"0.96"
"1656520980","2022-06-29 16:43:00","2022-06-29 11:43:00","3.53","19.939","7.498",NA,"0.96"
"1656521580","2022-06-29 16:53:00","2022-06-29 11:53:00","3.53","19.772","7.466",NA,"0.959"
"1656522180","2022-06-29 17:03:00","2022-06-29 12:03:00","3.53","19.747","7.439",NA,"0.96"
"1656522780","2022-06-29 17:13:00","2022-06-29 12:13:00","3.53","19.738","7.423",NA,"0.96"
"1656523380","2022-06-29 17:23:00","2022-06-29 12:23:00","3.53","19.738","7.397",NA,"0.96"
"1656523980","2022-06-29 17:33:00","2022-06-29 12:33:00","3.53","19.73","7.373",NA,"0.96"
"1656524580","2022-06-29 17:43:00","2022-06-29 12:43:00","3.53","19.747","7.35",NA,"0.959"
"1656525180","2022-06-29 17:53:00","2022-06-29 12:53:00","3.53","19.78","7.324",NA,"0.959"
"1656525780","2022-06-29 18:03:00","2022-06-29 13:03:00","3.53","19.839","7.292",NA,"0.96"
"1656526380","2022-06-29 18:13:00","2022-06-29 13:13:00","3.53","19.864","7.252",NA,"0.959"
"1656526980","2022-06-29 18:23:00","2022-06-29 13:23:00","3.53","19.881","7.22",NA,"0.959"
"1656527580","2022-06-29 18:33:00","2022-06-29 13:33:00","3.53","19.906","7.185",NA,"0.959"
"1656528180","2022-06-29 18:43:00","2022-06-29 13:43:00","3.53","19.897","7.131",NA,"0.959"
"1656528780","2022-06-29 18:53:00","2022-06-29 13:53:00","3.53","19.897","7.097",NA,"0.959"
"1656529380","2022-06-29 19:03:00","2022-06-29 14:03:00","3.53","19.881","7.049",NA,"0.959"
"1656529980","2022-06-29 19:13:00","2022-06-29 14:13:00","3.53","19.872","7.002",NA,"0.96"
"1656530580","2022-06-29 19:23:00","2022-06-29 14:23:00","3.53","19.839","6.947",NA,"0.959"
"1656531180","2022-06-29 19:33:00","2022-06-29 14:33:00","3.53","19.805","6.897",NA,"0.959"
"1656531780","2022-06-29 19:43:00","2022-06-29 14:43:00","3.53","19.747","6.864",NA,"0.959"
"1656532380","2022-06-29 19:53:00","2022-06-29 14:53:00","3.53","19.73","6.81",NA,"0.959"
"1656532980","2022-06-29 20:03:00","2022-06-29 15:03:00","3.53","19.663","6.767",NA,"0.959"
"1656533580","2022-06-29 20:13:00","2022-06-29 15:13:00","3.53","19.621","6.722",NA,"0.96"
"1656534180","2022-06-29 20:23:00","2022-06-29 15:23:00","3.53","19.646","6.682",NA,"0.96"
"1656534780","2022-06-29 20:33:00","2022-06-29 15:33:00","3.53","19.621","6.638",NA,"0.96"
"1656535380","2022-06-29 20:43:00","2022-06-29 15:43:00","3.53","19.604","6.575",NA,"0.959"
"1656535980","2022-06-29 20:53:00","2022-06-29 15:53:00","3.53","19.654","6.516",NA,"0.959"
"1656536580","2022-06-29 21:03:00","2022-06-29 16:03:00","3.53","19.688","6.46",NA,"0.959"
"1656537180","2022-06-29 21:13:00","2022-06-29 16:13:00","3.53","19.68","6.41",NA,"0.959"
"1656537780","2022-06-29 21:23:00","2022-06-29 16:23:00","3.53","19.68","6.362",NA,"0.96"
"1656538380","2022-06-29 21:33:00","2022-06-29 16:33:00","3.53","19.721","6.309",NA,"0.959"
"1656538980","2022-06-29 21:43:00","2022-06-29 16:43:00","3.53","19.738","6.268",NA,"0.959"
"1656539580","2022-06-29 21:53:00","2022-06-29 16:53:00","3.53","19.814","6.212",NA,"0.959"
"1656540180","2022-06-29 22:03:00","2022-06-29 17:03:00","3.53","19.822","6.16",NA,"0.959"
"1656540780","2022-06-29 22:13:00","2022-06-29 17:13:00","3.53","19.83","6.105",NA,"0.959"
"1656541380","2022-06-29 22:23:00","2022-06-29 17:23:00","3.53","19.814","6.044",NA,"0.959"
"1656541980","2022-06-29 22:33:00","2022-06-29 17:33:00","3.53","19.797","6.012",NA,"0.959"
"1656542580","2022-06-29 22:43:00","2022-06-29 17:43:00","3.53","19.805","5.965",NA,"0.959"
"1656543180","2022-06-29 22:53:00","2022-06-29 17:53:00","3.53","19.763","5.915",NA,"0.959"
"1656543780","2022-06-29 23:03:00","2022-06-29 18:03:00","3.53","19.73","5.858",NA,"0.959"
"1656544380","2022-06-29 23:13:00","2022-06-29 18:13:00","3.53","19.68","5.805",NA,"0.959"
"1656544980","2022-06-29 23:23:00","2022-06-29 18:23:00","3.53","19.621","5.762",NA,"0.959"
"1656545580","2022-06-29 23:33:00","2022-06-29 18:33:00","3.53","19.612","5.724",NA,"0.959"
"1656546180","2022-06-29 23:43:00","2022-06-29 18:43:00","3.53","19.663","5.704",NA,"0.959"
"1656546780","2022-06-29 23:53:00","2022-06-29 18:53:00","3.53","19.604","5.644",NA,"0.959"
"1656547380","2022-06-30 00:03:00","2022-06-29 19:03:00","3.53","19.579","5.577",NA,"0.959"
"1656547980","2022-06-30 00:13:00","2022-06-29 19:13:00","3.53","19.579","5.525",NA,"0.959"
"1656548580","2022-06-30 00:23:00","2022-06-29 19:23:00","3.53","19.587","5.466",NA,"0.959"
"1656549180","2022-06-30 00:33:00","2022-06-29 19:33:00","3.53","19.579","5.418",NA,"0.959"
"1656549780","2022-06-30 00:43:00","2022-06-29 19:43:00","3.53","19.629","5.364",NA,"0.959"
"1656550380","2022-06-30 00:53:00","2022-06-29 19:53:00","3.53","19.646","5.317",NA,"0.959"
"1656550980","2022-06-30 01:03:00","2022-06-29 20:03:00","3.53","19.638","5.264",NA,"0.959"
"1656551580","2022-06-30 01:13:00","2022-06-29 20:13:00","3.52","19.688","5.214",NA,"0.959"
"1656552180","2022-06-30 01:23:00","2022-06-29 20:23:00","3.52","19.797","5.193",NA,"0.959"
"1656552780","2022-06-30 01:33:00","2022-06-29 20:33:00","3.52","19.897","5.156",NA,"0.959"
"1656553380","2022-06-30 01:43:00","2022-06-29 20:43:00","3.52","19.939","5.077",NA,"0.959"
"1656553980","2022-06-30 01:53:00","2022-06-29 20:53:00","3.52","19.998","5.004",NA,"0.959"
"1656554580","2022-06-30 02:03:00","2022-06-29 21:03:00","3.53","20.04","4.939",NA,"0.959"
"1656555180","2022-06-30 02:13:00","2022-06-29 21:13:00","3.52","19.855","4.846",NA,"0.959"
"1656555780","2022-06-30 02:23:00","2022-06-29 21:23:00","3.52","19.68","4.757",NA,"0.959"
"1656556380","2022-06-30 02:33:00","2022-06-29 21:33:00","3.52","19.638","4.693",NA,"0.959"
"1656556980","2022-06-30 02:43:00","2022-06-29 21:43:00","3.53","19.587","4.634",NA,"0.959"
"1656557580","2022-06-30 02:53:00","2022-06-29 21:53:00","3.52","19.587","4.571",NA,"0.958"
"1656558180","2022-06-30 03:03:00","2022-06-29 22:03:00","3.52","19.654","4.519",NA,"0.959"
"1656558780","2022-06-30 03:13:00","2022-06-29 22:13:00","3.52","19.688","4.461",NA,"0.958"
"1656559380","2022-06-30 03:23:00","2022-06-29 22:23:00","3.52","19.747","4.395",NA,"0.958"
"1656559980","2022-06-30 03:33:00","2022-06-29 22:33:00","3.52","19.797","4.326",NA,"0.959"
"1656560580","2022-06-30 03:43:00","2022-06-29 22:43:00","3.52","19.889","4.244",NA,"0.958"
"1656561180","2022-06-30 03:53:00","2022-06-29 22:53:00","3.52","19.981","4.166",NA,"0.958"
"1656561780","2022-06-30 04:03:00","2022-06-29 23:03:00","3.53","20.09","4.088",NA,"0.958"
"1656562380","2022-06-30 04:13:00","2022-06-29 23:13:00","3.53","20.207","4.004",NA,"0.958"
"1656562980","2022-06-30 04:23:00","2022-06-29 23:23:00","3.53","20.299","3.915",NA,"0.958"
"1656563580","2022-06-30 04:33:00","2022-06-29 23:33:00","3.53","20.408","3.821",NA,"0.957"
