Unix.Timestamp,UTC_Date_._Time,Central.Standard.Time,Battery,Temperature,Dissolved.Oxygen,Dissolved.Oxygen.Saturation,Q
(Second),(none),(none),(Volt),(deg C),(mg/l),(%),(none)
1656512040,6/29/22 14:14,6/29/22 9:14,3.54,22.6,8.309,NA,0.948
1656512640,6/29/22 14:24,6/29/22 9:24,3.54,22.542,8.324,NA,0.947
1656513240,6/29/22 14:34,6/29/22 9:34,3.54,22.742,8.251,NA,0.945
1656513840,6/29/22 14:44,6/29/22 9:44,3.54,22.901,8.249,NA,0.946
1656514440,6/29/22 14:54,6/29/22 9:54,3.54,23.789,7.907,NA,0.94
1656515040,6/29/22 15:04,6/29/22 10:04,3.54,20.827,8.187,NA,0.942
1656515640,6/29/22 15:14,6/29/22 10:14,3.55,20.249,8.181,NA,0.943
1656516240,6/29/22 15:24,6/29/22 10:24,3.54,19.939,8.143,NA,0.943
1656516840,6/29/22 15:34,6/29/22 10:34,3.54,19.747,8.098,NA,0.943
1656517440,6/29/22 15:44,6/29/22 10:44,3.54,19.562,8.052,NA,0.943
1656518040,6/29/22 15:54,6/29/22 10:54,3.55,19.453,8.009,NA,0.943
1656518640,6/29/22 16:04,6/29/22 11:04,3.55,19.327,7.925,NA,0.943
1656519240,6/29/22 16:14,6/29/22 11:14,3.55,19.193,7.842,NA,0.943
1656519840,6/29/22 16:24,6/29/22 11:24,3.55,19.142,7.767,NA,0.943
1656520440,6/29/22 16:34,6/29/22 11:34,3.55,19.134,7.71,NA,0.943
1656521040,6/29/22 16:44,6/29/22 11:44,3.55,19.168,7.668,NA,0.943
1656521640,6/29/22 16:54,6/29/22 11:54,3.55,19.201,7.617,NA,0.943
1656522240,6/29/22 17:04,6/29/22 12:04,3.55,19.268,7.571,NA,0.943
1656522840,6/29/22 17:14,6/29/22 12:14,3.55,19.319,7.535,NA,0.943
1656523440,6/29/22 17:24,6/29/22 12:24,3.55,19.327,7.479,NA,0.943
1656524040,6/29/22 17:34,6/29/22 12:34,3.55,19.386,7.406,NA,0.943
1656524640,6/29/22 17:44,6/29/22 12:44,3.54,19.419,7.332,NA,0.943
1656525240,6/29/22 17:54,6/29/22 12:54,3.54,19.403,7.264,NA,0.943
1656525840,6/29/22 18:04,6/29/22 13:04,3.54,19.394,7.2,NA,0.943
1656526440,6/29/22 18:14,6/29/22 13:14,3.54,19.461,7.183,NA,0.943
1656527040,6/29/22 18:24,6/29/22 13:24,3.54,19.528,7.177,NA,0.943
1656527640,6/29/22 18:34,6/29/22 13:34,3.54,19.562,7.159,NA,0.943
1656528240,6/29/22 18:44,6/29/22 13:44,3.54,19.554,7.121,NA,0.942
1656528840,6/29/22 18:54,6/29/22 13:54,3.54,19.503,7.088,NA,0.943
1656529440,6/29/22 19:04,6/29/22 14:04,3.54,19.411,7.049,NA,0.943
1656530040,6/29/22 19:14,6/29/22 14:14,3.54,19.327,7.034,NA,0.943
1656530640,6/29/22 19:24,6/29/22 14:24,3.55,19.26,7.021,NA,0.943
1656531240,6/29/22 19:34,6/29/22 14:34,3.55,19.134,7.005,NA,0.943
1656531840,6/29/22 19:44,6/29/22 14:44,3.55,19.033,7.011,NA,0.943
1656532440,6/29/22 19:54,6/29/22 14:54,3.54,18.958,7.023,NA,0.943
1656533040,6/29/22 20:04,6/29/22 15:04,3.54,18.932,7.014,NA,0.943
1656533640,6/29/22 20:14,6/29/22 15:14,3.54,18.949,6.983,NA,0.943
1656534240,6/29/22 20:24,6/29/22 15:24,3.54,18.983,6.961,NA,0.943
1656534840,6/29/22 20:34,6/29/22 15:34,3.54,18.983,6.92,NA,0.943
1656535440,6/29/22 20:44,6/29/22 15:44,3.54,19.008,6.885,NA,0.943
1656536040,6/29/22 20:54,6/29/22 15:54,3.54,19.025,6.834,NA,0.943
1656536640,6/29/22 21:04,6/29/22 16:04,3.54,19.05,6.782,NA,0.943
1656537240,6/29/22 21:14,6/29/22 16:14,3.54,19.075,6.745,NA,0.944
1656537840,6/29/22 21:24,6/29/22 16:24,3.54,19.176,6.708,NA,0.943
1656538440,6/29/22 21:34,6/29/22 16:34,3.54,19.21,6.661,NA,0.943
1656539040,6/29/22 21:44,6/29/22 16:44,3.54,19.184,6.624,NA,0.943
1656539640,6/29/22 21:54,6/29/22 16:54,3.54,19.21,6.586,NA,0.943
1656540240,6/29/22 22:04,6/29/22 17:04,3.54,19.268,6.579,NA,0.943
1656540840,6/29/22 22:14,6/29/22 17:14,3.54,19.319,6.575,NA,0.943
1656541440,6/29/22 22:24,6/29/22 17:24,3.54,19.386,6.573,NA,0.943
1656542040,6/29/22 22:34,6/29/22 17:34,3.54,19.436,6.555,NA,0.943
1656542640,6/29/22 22:44,6/29/22 17:44,3.54,19.436,6.526,NA,0.943
1656543240,6/29/22 22:54,6/29/22 17:54,3.54,19.394,6.507,NA,0.943
1656543840,6/29/22 23:04,6/29/22 18:04,3.54,19.336,6.489,NA,0.943
1656544440,6/29/22 23:14,6/29/22 18:14,3.54,19.277,6.471,NA,0.943
1656545040,6/29/22 23:24,6/29/22 18:24,3.54,19.21,6.463,NA,0.943
1656545640,6/29/22 23:34,6/29/22 18:34,3.54,19.084,6.469,NA,0.943
1656546240,6/29/22 23:44,6/29/22 18:44,3.54,19,6.477,NA,0.943
1656546840,6/29/22 23:54,6/29/22 18:54,3.54,18.974,6.475,NA,0.943
1656547440,6/30/22 0:04,6/29/22 19:04,3.54,18.974,6.468,NA,0.943
1656548040,6/30/22 0:14,6/29/22 19:14,3.54,19,6.452,NA,0.942
1656548640,6/30/22 0:24,6/29/22 19:24,3.54,19.025,6.448,NA,0.943
1656549240,6/30/22 0:34,6/29/22 19:34,3.54,19.033,6.432,NA,0.943
1656549840,6/30/22 0:44,6/29/22 19:44,3.54,19.033,6.409,NA,0.943
1656550440,6/30/22 0:54,6/29/22 19:54,3.54,19.058,6.372,NA,0.943
1656551040,6/30/22 1:04,6/29/22 20:04,3.54,19.092,6.331,NA,0.943
1656551640,6/30/22 1:14,6/29/22 20:14,3.54,19.075,6.284,NA,0.943
1656552240,6/30/22 1:24,6/29/22 20:24,3.54,19.092,6.231,NA,0.943
1656552840,6/30/22 1:34,6/29/22 20:34,3.54,19.075,6.184,NA,0.943
1656553440,6/30/22 1:44,6/29/22 20:44,3.54,19.1,6.127,NA,0.943
1656554040,6/30/22 1:54,6/29/22 20:54,3.54,19.1,6.085,NA,0.944
1656554640,6/30/22 2:04,6/29/22 21:04,3.54,19.134,6.032,NA,0.943
1656555240,6/30/22 2:14,6/29/22 21:14,3.54,19.159,5.998,NA,0.943
1656555840,6/30/22 2:24,6/29/22 21:24,3.54,19.168,5.961,NA,0.943
1656556440,6/30/22 2:34,6/29/22 21:34,3.54,19.201,5.919,NA,0.943
1656557040,6/30/22 2:44,6/29/22 21:44,3.54,19.285,5.886,NA,0.944
1656557640,6/30/22 2:54,6/29/22 21:54,3.54,19.352,5.844,NA,0.944
1656558240,6/30/22 3:04,6/29/22 22:04,3.54,19.419,5.798,NA,0.943
1656558840,6/30/22 3:14,6/29/22 22:14,3.54,19.537,5.746,NA,0.943
1656559440,6/30/22 3:24,6/29/22 22:24,3.54,19.612,5.706,NA,0.943
1656560040,6/30/22 3:34,6/29/22 22:34,3.53,19.73,5.655,NA,0.943
1656560640,6/30/22 3:44,6/29/22 22:44,3.53,19.847,5.606,NA,0.943
1656561240,6/30/22 3:54,6/29/22 22:54,3.53,19.956,5.56,NA,0.943
1656561840,6/30/22 4:04,6/29/22 23:04,3.54,20.065,5.505,NA,0.943
1656562440,6/30/22 4:14,6/29/22 23:14,3.54,20.216,5.448,NA,0.944
1656563040,6/30/22 4:24,6/29/22 23:24,3.54,20.333,5.383,NA,0.943
1656563640,6/30/22 4:34,6/29/22 23:34,3.54,20.475,5.326,NA,0.944
1656564240,6/30/22 4:44,6/29/22 23:44,3.53,20.576,5.263,NA,0.944
1656564840,6/30/22 4:54,6/29/22 23:54,3.53,20.71,5.179,NA,0.943
1656565440,6/30/22 5:04,6/30/22 0:04,3.53,20.818,5.102,NA,0.943
1656566040,6/30/22 5:14,6/30/22 0:14,3.53,20.936,5.023,NA,0.944
1656566640,6/30/22 5:24,6/30/22 0:24,3.53,21.061,4.935,NA,0.943
1656567240,6/30/22 5:34,6/30/22 0:34,3.54,21.187,4.843,NA,0.944
1656567840,6/30/22 5:44,6/30/22 0:44,3.54,21.304,4.755,NA,0.944
1656568440,6/30/22 5:54,6/30/22 0:54,3.54,21.421,4.657,NA,0.944
1656569040,6/30/22 6:04,6/30/22 1:04,3.53,21.546,4.548,NA,0.944
1656569640,6/30/22 6:14,6/30/22 1:14,3.53,21.63,4.448,NA,0.944
1656570240,6/30/22 6:24,6/30/22 1:24,3.53,21.722,4.342,NA,0.944
1656570840,6/30/22 6:34,6/30/22 1:34,3.53,21.806,4.246,NA,0.944
1656571440,6/30/22 6:44,6/30/22 1:44,3.53,21.898,4.125,NA,0.944
1656572040,6/30/22 6:54,6/30/22 1:54,3.53,21.981,4.014,NA,0.944
1656572640,6/30/22 7:04,6/30/22 2:04,3.53,22.073,3.896,NA,0.944
1656573240,6/30/22 7:14,6/30/22 2:14,3.53,22.148,3.775,NA,0.944
1656573840,6/30/22 7:24,6/30/22 2:24,3.53,22.199,3.656,NA,0.945
1656574440,6/30/22 7:34,6/30/22 2:34,3.53,22.266,3.529,NA,0.945
1656575040,6/30/22 7:44,6/30/22 2:44,3.54,22.299,3.401,NA,0.945
1656575640,6/30/22 7:54,6/30/22 2:54,3.53,22.332,3.273,NA,0.945
1656576240,6/30/22 8:04,6/30/22 3:04,3.53,22.383,3.141,NA,0.945
1656576840,6/30/22 8:14,6/30/22 3:14,3.53,22.466,3.003,NA,0.945
1656577440,6/30/22 8:24,6/30/22 3:24,3.53,22.483,2.877,NA,0.945
