Date,Time,Site,Unit ID,User ID,F-21A104910,mmHg-21A105443,DO %-21A106679,DO mg/L-21A106679,SPC-uS/cm-21A104910,C-uS/cm-21A104910,nLFC-uS/cm-21A104910,ohm-cm-21A104910,TDS mg/L-21A104910,SAL-PSU-21A104910,Density-21A104910,Density-T-21A104910,pH-21B101988,pH mV-21B101988,Phycocyanin RFU-21B101736,Phycocyanin ug/L-21B101736,algale_edibility,Chlorophyll RFU-21B101736,Chlorophyll ug/L-21B101736,DEP m-20M103012,Vpos m-20M103012
8/26/22,9:06:14 AM,Tank 58,Strauss lab 1,,78.356,751.6,83.7,6.82,209.5,212.6,209.2,4705,136,0.1,-3.1,-3.1,12.17,-398.7,0.22,0.2,inedible,0.55,2.03,-0.03,-0.038
8/26/22,9:06:17 AM,Tank 58,Strauss lab 1,,78.378,751.6,84.5,6.88,209.6,212.6,209.3,4703,136,0.1,-3.1,-3.1,12.22,-401.2,0.26,0.24,inedible,0.6,2.22,-0.031,-0.036
8/26/22,9:06:20 AM,Tank 58,Strauss lab 1,,78.361,751.6,85.4,6.95,209.7,212.7,209.3,4702,136,0.1,-3.1,-3.1,12.26,-403.4,0.33,0.31,inedible,0.71,2.69,-0.034,-0.039
8/26/22,9:06:23 AM,Tank 58,Strauss lab 1,,78.339,751.5,87,7.09,209.8,212.7,209.5,4700,136,0.1,-3.1,-3.1,12.29,-405.6,0.36,0.34,inedible,0.71,2.68,-0.035,-0.029
8/26/22,9:06:26 AM,Tank 58,Strauss lab 1,,78.324,751.6,88.5,7.21,209.8,212.8,209.5,4699,136,0.1,-3.1,-3.1,12.33,-407.5,0.41,0.39,inedible,0.76,2.89,-0.034,-0.023
8/26/22,9:06:29 AM,Tank 58,Strauss lab 1,,78.345,751.6,90,7.33,209.8,212.8,209.5,4698,136,0.1,-3.1,-3.1,12.35,-409.1,0.32,0.29,inedible,0.69,2.61,-0.035,-0.039
8/26/22,9:07:24 AM,Tank 58,Strauss lab 1,,78.398,751.6,83.6,6.81,210.3,213.4,210,4685,137,0.1,-3.1,-3.1,12.34,-408.5,0.01,-0.01,edible,0.2,0.55,-0.034,-0.031
8/26/22,9:07:27 AM,Tank 58,Strauss lab 1,,78.443,751.6,84.6,6.89,210.4,213.6,210.1,4682,137,0.1,-3.1,-3.1,12.38,-410.9,0.05,0.03,edible,0.21,0.62,-0.035,-0.04
8/26/22,9:07:30 AM,Tank 58,Strauss lab 1,,78.468,751.6,85.6,6.97,210.4,213.7,210.1,4680,137,0.1,-3.1,-3.1,12.42,-412.8,-0.08,-0.1,edible,0.24,0.74,-0.037,-0.028
8/26/22,9:07:33 AM,Tank 58,Strauss lab 1,,78.482,751.6,87.2,7.1,210.4,213.7,210.1,4678,137,0.1,-3.1,-3.1,12.44,-414.4,-0.05,-0.08,edible,0.22,0.63,-0.037,-0.02
8/26/22,9:07:36 AM,Tank 58,Strauss lab 1,,78.494,751.6,88.5,7.2,210.4,213.8,210.1,4678,137,0.1,-3.1,-3.1,12.47,-415.8,-0.03,-0.05,edible,0.22,0.62,-0.037,-0.043
8/26/22,9:07:39 AM,Tank 58,Strauss lab 1,,78.505,751.6,89.5,7.28,210.4,213.8,210.1,4678,137,0.1,-3.1,-3.1,12.49,-417,0.16,0.14,edible,0.21,0.62,-0.035,-0.049
8/26/22,9:09:05 AM,Tank 43,Strauss lab 1,,78.251,751.6,86.4,7.05,210.4,213.2,210.1,4691,137,0.1,-3.1,-3.1,12.62,-424.4,0.41,0.39,inedible,1.48,5.9,-0.036,-0.029
8/26/22,9:09:08 AM,Tank 43,Strauss lab 1,,78.255,751.5,87.4,7.13,210.4,213.2,210.1,4690,137,0.1,-3.1,-3.1,12.63,-425.2,0.43,0.41,inedible,1.52,6.06,-0.034,-0.038
8/26/22,9:09:11 AM,Tank 43,Strauss lab 1,,78.25,751.6,88.1,7.19,210.5,213.3,210.2,4689,137,0.1,-3.1,-3.1,12.64,-425.9,0.42,0.4,inedible,1.5,5.99,-0.035,-0.048
8/26/22,9:09:14 AM,Tank 43,Strauss lab 1,,78.243,751.6,88.8,7.24,210.5,213.3,210.2,4689,137,0.1,-3.1,-3.1,12.65,-426.4,0.46,0.44,inedible,1.58,6.29,-0.036,-0.042
8/26/22,9:09:17 AM,Tank 43,Strauss lab 1,,78.253,751.6,89.2,7.28,210.5,213.3,210.2,4689,137,0.1,-3.1,-3.1,12.66,-426.7,0.44,0.42,inedible,1.51,6.02,-0.035,-0.019
8/26/22,9:09:20 AM,Tank 43,Strauss lab 1,,78.276,751.6,89.7,7.31,210.4,213.3,210.1,4688,137,0.1,-3.1,-3.1,12.66,-426.9,0.44,0.42,inedible,1.54,6.12,-0.035,-0.019
8/26/22,9:09:23 AM,Tank 43,Strauss lab 1,,78.304,751.5,90,7.34,210.4,213.3,210.1,4688,137,0.1,-3.1,-3.1,12.66,-427,0.33,0.31,inedible,1.54,6.12,-0.036,-0.045
8/26/22,9:10:08 AM,Tank 43,Strauss lab 1,,77.931,751.6,88.7,7.26,211.8,213.9,211.6,4675,138,0.1,-3,-3,12.66,-426.4,0.31,0.29,edible,1.39,5.52,-0.036,-0.043
8/26/22,9:10:11 AM,Tank 43,Strauss lab 1,,77.942,751.6,89.4,7.31,211.9,214,211.6,4673,138,0.1,-3,-3,12.67,-427,0.24,0.22,edible,1.41,5.6,-0.034,-0.029
8/26/22,9:10:14 AM,Tank 43,Strauss lab 1,,77.945,751.6,90.1,7.37,211.9,214,211.7,4672,138,0.1,-3,-3,12.68,-427.6,0.2,0.18,edible,1.4,5.57,-0.036,-0.037
8/26/22,9:10:17 AM,Tank 43,Strauss lab 1,,77.937,751.6,90.6,7.41,211.9,214,211.7,4672,138,0.1,-3,-3,12.68,-427.9,0.15,0.13,edible,1.36,5.39,-0.034,-0.024
8/26/22,9:10:20 AM,Tank 43,Strauss lab 1,,77.928,751.6,91,7.45,212,214.1,211.7,4672,138,0.1,-3,-3,12.68,-428.1,0.14,0.12,edible,1.37,5.44,-0.036,-0.03
8/26/22,9:10:23 AM,Tank 43,Strauss lab 1,,77.92,751.6,91.4,7.48,212,214.1,211.8,4671,138,0.1,-3,-3,12.69,-428.1,0.32,0.3,edible,1.35,5.33,-0.036,-0.039
8/26/22,9:11:38 AM,Tank 12,Strauss lab 1,,77.666,751.6,87.5,7.18,214.9,216.5,214.8,4620,140,0.1,-3,-3,12.65,-425.9,0.04,0.02,inedible,0.06,-0.01,-0.036,-0.023
8/26/22,9:11:41 AM,Tank 12,Strauss lab 1,,77.671,751.7,87.7,7.19,214.9,216.5,214.8,4619,140,0.1,-3,-3,12.65,-425.6,0.18,0.16,inedible,0.07,0.03,-0.033,-0.016
8/26/22,9:11:44 AM,Tank 12,Strauss lab 1,,77.672,751.5,87.8,7.2,215,216.5,214.8,4619,140,0.1,-3,-3,12.64,-425.3,0.15,0.12,inedible,0.08,0.08,-0.034,-0.042
8/26/22,9:11:47 AM,Tank 12,Strauss lab 1,,77.674,751.6,87.9,7.21,215,216.5,214.8,4619,140,0.1,-3,-3,12.63,-424.8,0.2,0.18,inedible,0.11,0.18,-0.032,-0.046
