sample_date,,bucket,temp,community,treatment,epidemic_size,epidemic_size_ind,epidemic_size_c,epidemic_size_ind_c
8/22/22,,1,15,D,D_15,0,0,NaN,0
8/22/22,5,2,15,D,D_15,0,0,NaN,0
8/22/22,15,3,15,D,D_15,0,0,NaN,0
8/22/22,23,4,15,D,D_15,0.01851852,3.5,NaN,0
8/22/22,7,5,20,D,D_20,0,0,NaN,0
8/22/22,27,6,20,D,D_20,0,0,NaN,0
8/22/22,2,7,20,D,D_20,0,0,NaN,0
8/22/22,1,8,20,D,D_20,0,0,NaN,0
8/22/22,9,9,25,D,D_25,0,0,NaN,0
8/22/22,29,10,25,D,D_25,0,0,NaN,0
8/22/22,8,11,25,D,D_25,0,0,NaN,0
8/22/22,12,12,25,D,D_25,0,0,NaN,0
8/22/22,4,13,var,D,D_var,0,0,NaN,0
8/22/22,19,14,var,D,D_var,0,0,NaN,0
8/22/22,25,15,var,D,D_var,0,0,NaN,0
8/22/22,24,16,var,D,D_var,0,0,NaN,0
8/22/22,32,17,15,DM,DM_15,1.25624913,128,NaN,0
8/22/22,6,18,15,DM,DM_15,0.7088258,117.5,NaN,0
8/22/22,3,19,15,DM,DM_15,1.23012265,163,NaN,0
8/22/22,18,20,15,DM,DM_15,2.45406153,222,NaN,0
8/22/22,14,21,20,DM,DM_20,1.35668215,205.5,NaN,0
8/22/22,13,22,20,DM,DM_20,NaN,66,NaN,0
8/22/22,26,23,20,DM,DM_20,NaN,55,NaN,0
8/22/22,11,24,20,DM,DM_20,4.32867829,148,NaN,0
8/22/22,21,25,25,DM,DM_25,0.63997395,133.5,NaN,0
8/22/22,31,26,25,DM,DM_25,NaN,47,NaN,0
8/22/22,30,27,25,DM,DM_25,2.33533203,256.5,NaN,0
8/22/22,28,28,25,DM,DM_25,5.29394095,738.5,NaN,0
8/22/22,16,29,var,DM,DM_var,4.03559709,231.5,NaN,0
8/22/22,10,30,var,DM,DM_var,NaN,0,NaN,0
8/22/22,17,31,var,DM,DM_var,5.78292387,264,NaN,0
8/22/22,20,32,var,DM,DM_var,3.3952228,203,NaN,0
8/22/22,36,33,15,CM,CM_15,NaN,0,0.067842235,36.5
8/22/22,47,34,15,CM,CM_15,NaN,0,0.024990212,16
8/22/22,48,35,15,CM,CM_15,NaN,0,0.094949515,21.5
8/22/22,43,36,15,CM,CM_15,NaN,0,0.327156686,75
8/22/22,58,37,20,CM,CM_20,NaN,270,0.396611684,142.5
8/22/22,61,38,20,CM,CM_20,NaN,0,0.315390689,120
8/22/22,56,39,20,CM,CM_20,NaN,528.5,1.242363891,58.5
8/22/22,60,40,20,CM,CM_20,NaN,5.5,0.238146239,106
8/22/22,64,41,25,CM,CM_25,NaN,0,0,0
8/22/22,62,42,25,CM,CM_25,NaN,3.5,0,0
8/22/22,52,43,25,CM,CM_25,NaN,0,NaN,0
8/22/22,63,44,25,CM,CM_25,NaN,522,0,0
8/22/22,54,45,var,CM,CM_var,NaN,0,0.34690228,80.5
8/22/22,40,46,var,CM,CM_var,NaN,0,0.224299822,58
8/22/22,44,47,var,CM,CM_var,NaN,0,0.008009153,3.5
8/22/22,50,48,var,CM,CM_var,NaN,0,0.167519037,66.5
8/22/22,37,49,15,DCM,DCM_15,1.53623127,267,NaN,0
8/22/22,46,50,15,DCM,DCM_15,2.15344544,170.5,NaN,0
8/22/22,41,51,15,DCM,DCM_15,0.55423707,91,NaN,0
8/22/22,35,52,15,DCM,DCM_15,1.84221293,180,0,0
8/22/22,51,53,20,DCM,DCM_20,2.56120991,327.5,NaN,7
8/22/22,55,54,20,DCM,DCM_20,1.45740079,249,NaN,0
8/22/22,34,55,20,DCM,DCM_20,1.96751012,186.5,NaN,0
8/22/22,49,56,20,DCM,DCM_20,8.57708761,1232,NaN,3.5
8/22/22,33,57,25,DCM,DCM_25,3.90941733,578,NaN,3.5
8/22/22,42,58,25,DCM,DCM_25,3.25129529,519,NaN,0
8/22/22,59,59,25,DCM,DCM_25,2.85241802,173,0,0
8/22/22,39,60,25,DCM,DCM_25,1.67642145,411,NaN,0
8/22/22,57,61,var,DCM,DCM_var,3.08118749,341,NaN,0
8/22/22,53,62,var,DCM,DCM_var,4.7334584,234,0,0
8/22/22,38,63,var,DCM,DCM_var,5.29574982,441.5,0.627124872,50
8/22/22,45,64,var,DCM,DCM_var,7.74492962,304.5,NaN,3.5
8/18/22,22,1,15,D,D_15,0,0,NaN,0
8/18/22,5,2,15,D,D_15,0,0,NaN,0
8/18/22,15,3,15,D,D_15,0,0,NaN,0
8/18/22,23,4,15,D,D_15,0.01851852,3.5,NaN,0
8/18/22,7,5,20,D,D_20,0,0,NaN,0
8/18/22,27,6,20,D,D_20,0,0,NaN,0
8/18/22,2,7,20,D,D_20,0,0,NaN,0
8/18/22,1,8,20,D,D_20,0,0,NaN,0
8/18/22,9,9,25,D,D_25,0,0,NaN,0
8/18/22,29,10,25,D,D_25,0,0,NaN,0
8/18/22,8,11,25,D,D_25,0,0,NaN,0
8/18/22,12,12,25,D,D_25,0,0,NaN,0
8/18/22,4,13,var,D,D_var,0,0,NaN,0
8/18/22,19,14,var,D,D_var,0,0,NaN,0
8/18/22,25,15,var,D,D_var,0,0,NaN,0
8/18/22,24,16,var,D,D_var,0,0,NaN,0
8/18/22,32,17,15,DM,DM_15,1.22235083,124,NaN,0
8/18/22,6,18,15,DM,DM_15,0.7088258,117.5,NaN,0
8/18/22,3,19,15,DM,DM_15,0.98164704,135,NaN,0
8/18/22,18,20,15,DM,DM_15,1.21721943,204,NaN,0
8/18/22,14,21,20,DM,DM_20,1.35668215,205.5,NaN,0
8/18/22,13,22,20,DM,DM_20,NaN,66,NaN,0
8/18/22,26,23,20,DM,DM_20,NaN,53,NaN,0
8/18/22,11,24,20,DM,DM_20,4.18399647,134,NaN,0
8/18/22,21,25,25,DM,DM_25,0.62316723,131.5,NaN,0
8/18/22,31,26,25,DM,DM_25,NaN,47,NaN,0
8/18/22,30,27,25,DM,DM_25,1.9403627,208.5,NaN,0
8/18/22,28,28,25,DM,DM_25,5.1021748,716.5,NaN,0
8/18/22,16,29,var,DM,DM_var,3.94364307,223.5,NaN,0
8/18/22,10,30,var,DM,DM_var,NaN,0,NaN,0
8/18/22,17,31,var,DM,DM_var,5.54949063,246,NaN,0
8/18/22,20,32,var,DM,DM_var,3.38671216,201,NaN,0
8/18/22,36,33,15,CM,CM_15,NaN,0,0.054757574,26.5
8/18/22,47,34,15,CM,CM_15,NaN,0,0.015567199,10
8/18/22,48,35,15,CM,CM_15,NaN,0,0.082408318,13.5
